reference_id,document_title,download_url,initial_publication_date,last_update_date,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status,manual_category,downloadable,local_file,module_ids
IETF-SD-JWT-Draft,Selective Disclosure for JWTs (SD-JWT) — draft-ietf-oauth-selective-disclosure-jwt,https://datatracker.ietf.org/doc/draft-ietf-oauth-selective-disclosure-jwt/,2022-01-01,2025-06-01,IETF Draft Standard,IETF specification defining the selective disclosure mechanism for JWT claims using salted SHA-256 hashes. Enables minimal disclosure (only requested attributes revealed) and unlinkability (batch-issued credentials prevent correlation). Core privacy-by-design mechanism used in SD-JWT VC credentials for the EUDI Wallet ecosystem.,Draft Standard,Technology; Identity; Finance; Government,IETF OAuth Working Group,N/A,Global,N/A,N/A,Selective Disclosure; SD-JWT; EUDI Wallet Privacy; Data Minimization; Unlinkability,N/A,High,New,General PQC Migration,no,,digital-id
OpenID4VCI-Spec,OpenID for Verifiable Credential Issuance (OpenID4VCI),https://openid.net/specs/openid-4-verifiable-credential-issuance-1_0.html,2023-01-01,2025-06-01,Final,OpenID Foundation specification defining how credential issuers expose APIs for digital credential issuance. Specifies credential offer flow pre-authorisation code flow authorisation code flow and credential endpoint. Defines proof of possession using key binding JWTs. Mandatory protocol for all EUDI Wallet credential issuers (PID providers attestation issuers).,Protocol Specification,Technology; Identity; Government; Finance,OpenID Foundation,EUDI-Wallet-ARF,Global,N/A,N/A,EUDI Wallet Credential Issuance; OpenID4VCI; mso_mdoc; SD-JWT VC; Key Binding,N/A,High,New,PQC Protocol Specification,no,,digital-id
OpenID4VP-Spec,OpenID for Verifiable Presentations (OpenID4VP),https://openid.net/specs/openid-4-verifiable-presentations-1_0.html,2022-01-01,2025-06-01,Final,OpenID Foundation specification defining how holders present verifiable credentials to relying parties. Specifies the authorization request presentation definition (DIF PE) and presentation submission. Enables selective disclosure presentations where holders reveal only the credential attributes required by the relying party. Mandatory for EUDI Wallet credential presentation flows.,Protocol Specification,Technology; Identity; Government; Finance,OpenID Foundation,EUDI-Wallet-ARF,Global,N/A,N/A,EUDI Wallet Credential Presentation; OpenID4VP; Selective Disclosure; Relying Party Verification,N/A,High,New,PQC Protocol Specification,no,,digital-id
IETF-Token-Status-List,OAuth Status List — draft-ietf-oauth-status-list,https://datatracker.ietf.org/doc/draft-ietf-oauth-status-list/,2023-01-01,2025-06-01,IETF Draft Standard,IETF specification for a compact bit-array status list to check validity states of credentials (valid revoked suspended). Provides privacy-preserving revocation: the verifier cannot determine which specific credential is being checked from the status list position alone. Used in EUDI Wallet ecosystem for credential revocation checking without revealing holder identity to the issuer.,Draft Standard,Technology; Identity; Government,IETF OAuth Working Group,RFC-9901-SD-JWT-VC,Global,N/A,N/A,Credential Revocation; EUDI Wallet; SD-JWT VC; Privacy-Preserving Status,N/A,Medium,New,PQC Protocol Specification,no,,digital-id
ENISA-EUDI-Wallet-Security,Security of the EUDI Wallet Architecture — ENISA,https://www.enisa.europa.eu/publications/security-of-the-eudi-wallet-architecture,2024-06-01,2024-06-01,Published,ENISA analysis of security risks and mitigations for the European Digital Identity Wallet architecture. Identifies EUDI Wallet providers as high-impact targets for early PQC adoption. Covers security requirements for credential formats trust framework key management (WSCD/WSCA) and protocol security. Provides recommendations for member state EUDI Wallet implementations.,Research/Report,Government; Identity; Technology; Finance,ENISA,eIDAS-2-Regulation; EUDI-Wallet-ARF,EU,N/A,N/A,EUDI Wallet Security; PQC Transition; Digital Identity Risk; WSCD; WSCA,N/A,High,New,General PQC Migration,no,,digital-id
CSC-API-v2-Spec,Cloud Signature Consortium API v2 Specification,https://cloudsignatureconsortium.org/resources/download-api-specifications/,2022-01-01,2024-01-01,Published,Cloud Signature Consortium API v2 for remote digital signature services. Defines endpoints for credential listing (/csc/v2/credentials/list) credential information (/csc/v2/credentials/info) authorization (/csc/v2/credentials/authorize) and hash signing (/csc/v2/signatures/signHash). Supports Qualified Electronic Signatures (QES) via remote HSMs. Adopted by eIDAS trust service providers (QTSPs) for EUDI Wallet-compatible SCAL2 signature services.,Technical Specification,Government; Finance; Legal; Technology,Cloud Signature Consortium,eIDAS-2-Regulation; ETSI-EN-319-411,EU; Global,N/A,N/A,QES; Remote Digital Signature; EUDI Wallet QTSP; CSC API; SCAL2,N/A,High,New,General PQC Migration,no,,digital-id
ETSI-EN-319-411,ETSI EN 319 411 — Requirements for Trust Service Providers Issuing Certificates,https://www.etsi.org/deliver/etsi_en/319400_319499/31941101/01.03.01_60/en_31941101v010301p.pdf,2016-02-01,2021-04-01,Published Standard,ETSI standard defining policy and security requirements for Qualified Trust Service Providers (QTSPs) issuing qualified certificates under eIDAS. Forms the basis for European CA auditing under WebTrust/ETSI audit schemes and the EUDI Trust Framework for credential issuer accreditation. Part 1 covers general requirements; Part 2 covers NCP/NCP+/QCP/eIDAS policies.,Standard,Government; Finance; Legal; PKI,ETSI,eIDAS-2-Regulation,EU,N/A,N/A,QTSP Requirements; QES; European PKI; EUDI Trust Framework; CA Auditing,N/A,High,New,General PQC Migration,no,,digital-id
NIST-SP-800-63-3,NIST SP 800-63-3 — Digital Identity Guidelines,https://pages.nist.gov/800-63-3/,2017-06-22,2017-06-22,Published,NIST framework for digital identity management. SP 800-63A covers identity proofing and enrollment (Identity Assurance Levels IAL1/2/3). SP 800-63B covers authentication (Authenticator Assurance Levels AAL1/2/3). SP 800-63C covers federation (Federation Assurance Levels FAL1/2/3). Referenced in EUDI Wallet implementations for IAL/AAL equivalency mapping with European LoA (Low Substantial High).,Guideline,Government; Finance; Healthcare; Technology,NIST,N/A,USA; Global,N/A,N/A,Digital Identity Assurance; IAL; AAL; FAL; Federation; Identity Proofing,N/A,Medium,New,General PQC Migration,no,,digital-id
NIST-SP-800-131A-Rev3,Transitioning the Use of Cryptographic Algorithms and Key Lengths (Rev 3),https://csrc.nist.gov/pubs/sp/800/131/a/r3/ipd,2024-11-01,2024-11-01,Initial Public Draft,Algorithm deprecation roadmap: SHA-1 and RSA/ECC <128-bit disallowed after 2030. Establishes federal algorithm retirement calendar aligned with PQC transition. References FIPS 203/204/205 as post-2030 replacements.,Compliance/Guidance,All industries,NIST,,Global,RSA; ECC; SHA; AES,,,,High,New,General Recommendations,yes,,compliance-strategy;pqc-risk-management
India-DST-Quantum-Safe-Roadmap-2026,Implementation of Quantum Safe Ecosystem in India — Report of the Task Force,https://dst.gov.in/sites/default/files/Report_TaskForce_PQMigration_4Feb26%20(v1).pdf,2026-02-04,2026-02-04,Published,India's national PQC migration roadmap from the Department of Science & Technology. Sets 2027–2029 migration timelines for Critical Information Infrastructure. Recommends hybrid PQC+QKD approach with industry-specific deadlines. First major non-Western official quantum-safe roadmap.,Compliance/Policy,Government; Finance; Telecom; Critical Infrastructure,India Ministry of Science & Technology (DST),,India; APAC,ML-KEM; ML-DSA; QKD,,,,High,New,Government Guidance,yes,,compliance-strategy;migration-program
WEF-2026-Quantum-Security-Leaders,Why quantum security is a question leaders cannot ignore,https://www.weforum.org/stories/2026/02/quantum-security-question-leaders-cannot-ignore/,2026-02-01,2026-02-01,Published,World Economic Forum perspective for C-suite and board audiences on quantum security strategic risk. Frames PQC migration as a board-level priority with competitive and regulatory dimensions. Part of WEF's ongoing series on quantum readiness for business leaders.,Guidance,All industries,World Economic Forum (WEF),,Global,,,,,High,New,General Recommendations,no,,pqc-business-case;pqc-governance
NIST-SP-800-22-R1A,SP 800-22 Rev. 1a: A Statistical Test Suite for Random and Pseudorandom Number Generators for Cryptographic Applications,https://csrc.nist.gov/pubs/sp/800/22/r1a/final,2010-04-01,2010-04-01,Published,"NIST statistical test suite defining 15 statistical tests (Monobit, Runs, Chi-Squared, DFT, Serial, and more) for evaluating randomness quality of bit sequences produced by cryptographic RBGs. Used for validating entropy source output quality prior to NIST ESV submission.",Standard,All Industries,NIST,SP 800-90B,USA; Global,N/A,,Entropy testing; RBG validation; Entropy source qualification,NIST STS; dieharder; TestU01; OpenSSL,Medium,New,General Recommendations,yes,,entropy-randomness
BSI-AIS-20-31,AIS 20/AIS 31: Functionality Classes and Evaluation Methodology for Deterministic and Physical Random Number Generators,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Certification/Interpretations/AIS_20_AIS_31_Functionality_classes_for_random_number_generators_e.html,2011-09-01,2024-09-01,Published,BSI (Germany) standard defining functionality classes DRG.1–DRG.4 for deterministic RNGs and PTG.1–PTG.3 for physical/true RNGs. AIS 31 compliance is required for Common Criteria RNG evaluations and is cited by QRNG hardware certifications including ID Quantique Quantis.,Standard,All Industries,BSI,,Europe; Global,N/A,,TRNG/DRBG certification; QRNG hardware validation; Common Criteria,Common Criteria; QRNG hardware; HSM firmware,Medium,New,General Recommendations,yes,,entropy-randomness
GRI-Quantum-Threat-Timeline-2024,2024 Quantum Threat Timeline Report,https://globalriskinstitute.org/publication/2024-quantum-threat-timeline-report/,2024-11-14,2024-11-14,Final Report,Annual expert survey projecting the probability and timeline of a cryptographically-relevant quantum computer (CRQC). Projects 5–15% probability by 2030 and 50% by 2034–2039. Foundational source for Mosca's Theorem and HNDL/HNFL risk calculations.,Research/Report,Government; Finance; Critical Infrastructure; All,Global Risk Institute,,Global,N/A,N/A,N/A,N/A,High,New,Research/Report,yes,,quantum-threats;pqc-risk-management;migration-program
RFC 5652,Cryptographic Message Syntax (CMS),https://www.rfc-editor.org/rfc/rfc5652.html,2009-09-01,2009-09-01,Proposed Standard,"Core CMS standard defining SignedData, EnvelopedData, and AuthEnvelopedData structures. Foundation for S/MIME email signing and encryption. All PQC CMS RFCs (9629, 9882, 9814, 9708, 9690) extend this format.",Protocol,Email; Document Signing; Code Signing; PKI,IETF SMIME WG,,International,Classical,Various,S/MIME; CMS; document signing; email encryption,OpenSSL; Bouncy Castle; GnuPG,High,New,Protocols,yes,,code-signing;email-signing;pki-workshop
RFC 5083,Using Advanced Encryption Standard (AES) Counter with CBC-MAC (AES-CCM) and AES Galois/Counter Mode (AES-GCM) Algorithms in the Cryptographic Message Syntax (CMS),https://www.rfc-editor.org/rfc/rfc5083.html,2007-11-01,2007-11-01,Proposed Standard,Defines AuthEnvelopedData content type for AEAD-based encryption in CMS. The authenticated-enveloped structure with AES-GCM provides both confidentiality and integrity — the preferred encryption mode for PQC email migration via RFC 9629.,Protocol,Email; Document Signing; Secure Messaging,IETF SMIME WG,RFC 5652,International,Classical / Symmetric,Various,CMS AuthEnvelopedData; S/MIME; email encryption,OpenSSL; Bouncy Castle,High,New,Protocols,yes,,email-signing
IETF RFC 7296,Internet Key Exchange Protocol Version 2 (IKEv2),https://www.rfc-editor.org/rfc/rfc7296.html,2014-10-01,2014-10-01,Standards Track RFC,"Defines IKEv2 for establishing IPsec Security Associations. Foundational protocol for VPN key exchange; all PQC IKEv2 extensions (RFC 9370, draft-ietf-ipsecme-ikev2-mlkem) build on this specification.",Protocol,VPN; IPsec; Enterprise; Government; Critical Infrastructure,IETF IPSECME,RFC 4301; RFC 4303,International,Diffie-Hellman; RSA; ECDH,N/A,IKEv2/IPsec VPN,StrongSwan; Libreswan; Cisco IOS; Juniper Junos,High,Validated,Protocols,yes,,vpn-ssh-pqc;qkd
IETF RFC 8731,Use of Curve25519 and Curve448 in the Secure Shell (SSH) Protocol,https://www.rfc-editor.org/rfc/rfc8731.html,2020-02-01,2020-02-01,Standards Track RFC,Defines curve25519-sha256 and curve448-sha512 key exchange for SSH. The classical KEX baseline that mlkem768x25519-sha256 hybrid extends for post-quantum SSH in OpenSSH 9.9+.,Protocol,Remote Access; Enterprise; Government; DevOps,IETF CURDLE WG,RFC 4253; RFC 4251,International,Elliptic Curve (X25519),L3,SSH key exchange,OpenSSH 6.5+; wolfSSH; Dropbear,High,Validated,Protocols,yes,,vpn-ssh-pqc
Rosenpass-Protocol,Rosenpass: Formally Verified Post-Quantum Protocol for WireGuard,https://rosenpass.eu/whitepaper.pdf,2023-02-01,2024-06-01,White Paper,Defines the Rosenpass protocol for adding PQC to WireGuard. Runs a separate ML-KEM-768 + Classic McEliece handshake and injects the combined shared secret as a WireGuard pre-shared key (PSK). Formally verified with ProVerif.,Protocol,VPN; Privacy; Enterprise; Consumer,Rosenpass e.V.,FIPS 203; WireGuard Protocol,International,Lattice-based (ML-KEM); Code-based (Classic McEliece),L1; L5,WireGuard PQC key exchange,Mullvad VPN; rosenpass open-source daemon,High,New,Protocols,yes,,vpn-ssh-pqc
NSA-QKD-Advisory-2023,NSA Quantum Key Distribution and Quantum Cryptography,https://media.defense.gov/2023/Oct/24/2003324189/-1/-1/0/QUANTUM_KEY_DISTRIBUTION_QUANTUM_CRYPTOGRAPHY_20231024.PDF,2023-10-24,2023-10-24,Published,"NSA advisory explaining why it does not recommend QKD for national security systems. States that QKD addresses only the key distribution problem, requires special-purpose equipment, introduces trusted node vulnerabilities, and has side-channel risks in real implementations. Recommends PQC (CNSA 2.0 algorithms) as the primary solution. Key reference for balanced QKD vs PQC evaluation.",Guidance,Government;Defense;Finance,National Security Agency (NSA),,Global,QKD,All,QKD; Key Distribution,,High,,Government Guidance,,,qkd
IETF RFC 4253,The Secure Shell (SSH) Transport Layer Protocol,https://www.rfc-editor.org/rfc/rfc4253.html,2006-01-01,2006-01-01,Standards Track RFC,"Defines the SSH transport layer including key exchange, server authentication, and encryption. The key exchange phase is where QKD-derived pre-shared keys can be injected via the ext-info mechanism or future SSH KEX extensions. Foundational standard for understanding QKD integration into SSH.",Protocol,All,IETF,,Global,SSH,All,SSH,,Medium,,PQC Protocol Specification,,,vpn-ssh-pqc;qkd
IEEE-802-1AE-2018,IEEE 802.1AE-2018: MAC Security (MACsec),https://standards.ieee.org/ieee/802.1AE/6095/,2006-08-01,2018-12-01,IEEE Standard,"Defines MACsec — IEEE Layer 2 encryption standard for Ethernet networks. MACsec uses AES-GCM-128/256 for confidentiality and integrity. QKD-derived keys can be injected as Secure Association Keys (SAKs) via the MACsec Key Agreement (MKA) protocol, making MACsec a natural integration point for QKD in enterprise and telecom networks.",Protocol,Finance;Government;Telecom;Enterprise,IEEE 802.1 Working Group,,Global,AES-GCM; QKD integration,AES-128; AES-256,MACsec; Layer 2 encryption; QKD key injection,,Medium,,PQC Protocol Specification,,,vpn-ssh-pqc;qkd
