reference_id,document_title,download_url,initial_publication_date,last_update_date,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status,manual_category,downloadable,local_file,module_ids,misc_info
RFC-9162,Certificate Transparency Version 2.0,https://www.rfc-editor.org/rfc/rfc9162,2021-12-01,2021-12-01,Standards Track RFC,IETF Standards Track RFC defining Certificate Transparency Version 2.0. Obsoletes RFC 6962. Foundational for understanding the transparency log model that Merkle Tree Certificates extend for post-quantum TLS optimization. Specifies TLS extensions for CT log artifacts and certificate inclusion proofs.,Standard,IT; Web Infrastructure; Telecom; Finance,IETF,RFC 6962,Global,Hash-based,,TLS; Certificate Transparency; PKI,All major CAs and browsers,Medium,New,PQC Protocol Specification,yes,public/library/RFC-9162.html,merkle-tree-certs,
Cloudflare-MTC-Blog,Keeping the Internet fast and secure: introducing Merkle Tree Certificates,https://blog.cloudflare.com/bootstrap-mtc/,2025-10-01,2025-10-01,Published,"Cloudflare blog post explaining the Merkle Tree Certificate proposal, its motivation (PQC certificate bloat), architecture (MTCA, transparency service, subscribers), and experimental deployment results. Includes size comparison data.",Blog Post,IT; Web Infrastructure; Telecom,Cloudflare Research,FIPS 204;IETF-MTC-Draft-09,Global,Hash-based,,TLS handshake optimization; MTC,Yes,Medium,New,General PQC Migration,yes,public/library/Cloudflare-MTC-Blog.html,merkle-tree-certs;pki-workshop,
Radboud-MTC-Thesis-2025,Implementation and Analysis of Merkle Tree Certificates for Post-Quantum Secure Authentication in TLS,https://www.cs.ru.nl/masters-theses/2025/M_Pohl___Implementation_and_Analysis_of_Merkle_Tree_Certificates_for_Post-Quantum_Secure_Authentication_in_TLS.pdf,2025-06-01,2025-06-01,Published,"Master's thesis from Radboud University providing a practical implementation and performance analysis of Merkle Tree Certificates in TLS 1.3. Evaluates tree construction, proof generation, and handshake overhead with ML-DSA.",Research Paper,Research; IT; Telecom,M. Pohl (Radboud University),FIPS 204;IETF-MTC-Draft-09;RFC 8446,Global; Europe,Lattice-based; Hash-based,"L2,L3",TLS 1.3; MTC implementation,Academic implementation,Medium,New,General PQC Migration,yes,public/library/Radboud-MTC-Thesis-2025.pdf,merkle-tree-certs,
Cloudflare-PQ-Internet-2025,State of the Post-Quantum Internet in 2025,https://blog.cloudflare.com/pq-2025/,2025-12-01,2025-12-01,Published,"Cloudflare's annual review of PQC adoption across the Internet, covering ML-KEM deployment in TLS 1.3, browser support (Chrome, Firefox), certificate transparency challenges, and the MTC proposal as a solution to PQ certificate bloat.",Blog Post,IT; Web Infrastructure; Telecom; Government,Cloudflare Research,FIPS 203;FIPS 204;IETF-MTC-Draft-09;RFC 8446,Global,Lattice-based; Hash-based,"L1,L3,L5",TLS; ML-KEM; PKI; MTC,Major browser vendors,High,New,General PQC Migration,yes,public/library/Cloudflare-PQ-Internet-2025.html,merkle-tree-certs;pki-workshop;tls-basics,
eIDAS-2-Regulation,eIDAS 2.0 Regulation (EU 2024/1183),https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32024R1183,2024-05-30,2024-05-30,In Force,EU regulation establishing the European Digital Identity framework mandating EUDI Wallets for all member states by late 2026. Requires private sector acceptance by late 2027. Introduces Qualified Electronic Attestations of Attributes (QEAA) and specifies the trust framework for digital identity across EU. Supersedes eIDAS 1.0.,Regulation,Government; Finance; Healthcare; Telecom; Identity,European Parliament; Council of the European Union,EU PQC Recommendation,EU,N/A,N/A,EUDI Wallet; OpenID4VCI; OpenID4VP; QES; Digital Identity,N/A,High,New,General PQC Migration,yes,public/library/eIDAS-2-Regulation.html,digital-id,
EUDI-Wallet-ARF,EUDI Wallet Architecture and Reference Framework (ARF),https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework,2023-01-01,2025-06-01,Living Document,Technical architecture and reference framework for the European Digital Identity Wallet. Defines credential formats (mso_mdoc per ISO 18013-5 and SD-JWT VC per RFC 9901) trust framework protocol requirements (OpenID4VCI OpenID4VP) and cryptographic security requirements. Specifies PQC migration roadmap: Dec 2026 national roadmaps Dec 2030 high-risk migration Dec 2035 full transition.,Technical Specification,Government; Identity; Technology; Finance,European Commission; eIDAS Expert Group,eIDAS-2-Regulation,EU,N/A,N/A,EUDI Wallet; mso_mdoc; SD-JWT VC; OpenID4VCI; OpenID4VP; Trust Framework,N/A,High,New,General PQC Migration,yes,public/library/EUDI-Wallet-ARF.html,digital-id,
ISO-18013-5-mDL,ISO/IEC 18013-5:2021 — Mobile Driving Licence (mDL) Application,https://www.iso.org/standard/69084.html,2021-09-01,2021-09-01,Published Standard,International standard defining the mso_mdoc credential format for mobile driving licences and identity documents. Specifies binary CBOR encoding document structure namespace (eu.europa.ec.eudi.pid.1 for EUDI PID) and cryptographic protection via Mobile Security Objects (MSO) signed by the issuer. Foundational for EUDI Wallet PID credentials and proximity presentations via NFC and BLE.,Standard,Government; Identity; Automotive; Transport,ISO/IEC JTC1 SC17,,Global,N/A,N/A,mso_mdoc; EUDI Wallet PID; mDL; Mobile Identity; Proximity Presentation,N/A,High,New,General PQC Migration,yes,public/library/ISO-18013-5-mDL.html,digital-id,
RFC-9901-SD-JWT-VC,RFC 9901 — SD-JWT-based Verifiable Credentials (SD-JWT VC),https://www.rfc-editor.org/rfc/rfc9901,2025-06-01,2025-06-01,Published RFC,IETF RFC defining SD-JWT-based Verifiable Credentials format (vc+sd-jwt). Specifies credential structure selective disclosure mechanism claims key binding JWT and the holder binding proof. Adopted by EUDI Wallet ARF for online attestations (education diplomas professional qualifications). Text-based JSON encoding optimised for remote online services.,RFC,Government; Identity; Finance; Technology,IETF OAuth Working Group,IETF-SD-JWT-Draft,Global,N/A,N/A,SD-JWT VC; EUDI Wallet Attestations; Verifiable Credentials; Selective Disclosure,N/A,High,New,General PQC Migration,yes,public/library/RFC-9901-SD-JWT-VC.html,digital-id,
IETF-SD-JWT-Draft,Selective Disclosure for JWTs (SD-JWT) — draft-ietf-oauth-selective-disclosure-jwt,https://datatracker.ietf.org/doc/draft-ietf-oauth-selective-disclosure-jwt/,2022-01-01,2025-06-01,IETF Draft Standard,IETF specification defining the selective disclosure mechanism for JWT claims using salted SHA-256 hashes. Enables minimal disclosure (only requested attributes revealed) and unlinkability (batch-issued credentials prevent correlation). Core privacy-by-design mechanism used in SD-JWT VC credentials for the EUDI Wallet ecosystem.,Draft Standard,Technology; Identity; Finance; Government,IETF OAuth Working Group,,Global,N/A,N/A,Selective Disclosure; SD-JWT; EUDI Wallet Privacy; Data Minimization; Unlinkability,N/A,High,New,General PQC Migration,yes,public/library/IETF-SD-JWT-Draft.html,digital-id,
OpenID4VCI-Spec,OpenID for Verifiable Credential Issuance (OpenID4VCI),https://openid.net/specs/openid-4-verifiable-credential-issuance-1_0.html,2023-01-01,2025-06-01,Final,OpenID Foundation specification defining how credential issuers expose APIs for digital credential issuance. Specifies credential offer flow pre-authorisation code flow authorisation code flow and credential endpoint. Defines proof of possession using key binding JWTs. Mandatory protocol for all EUDI Wallet credential issuers (PID providers attestation issuers).,Protocol Specification,Technology; Identity; Government; Finance,OpenID Foundation,EUDI-Wallet-ARF,Global,N/A,N/A,EUDI Wallet Credential Issuance; OpenID4VCI; mso_mdoc; SD-JWT VC; Key Binding,N/A,High,New,PQC Protocol Specification,yes,public/library/OpenID4VCI-Spec.html,digital-id,
OpenID4VP-Spec,OpenID for Verifiable Presentations (OpenID4VP),https://openid.net/specs/openid-4-verifiable-presentations-1_0.html,2022-01-01,2025-06-01,Final,OpenID Foundation specification defining how holders present verifiable credentials to relying parties. Specifies the authorization request presentation definition (DIF PE) and presentation submission. Enables selective disclosure presentations where holders reveal only the credential attributes required by the relying party. Mandatory for EUDI Wallet credential presentation flows.,Protocol Specification,Technology; Identity; Government; Finance,OpenID Foundation,EUDI-Wallet-ARF,Global,N/A,N/A,EUDI Wallet Credential Presentation; OpenID4VP; Selective Disclosure; Relying Party Verification,N/A,High,New,PQC Protocol Specification,yes,public/library/OpenID4VP-Spec.html,digital-id,
IETF-Token-Status-List,OAuth Status List — draft-ietf-oauth-status-list,https://datatracker.ietf.org/doc/draft-ietf-oauth-status-list/,2023-01-01,2025-06-01,IETF Draft Standard,IETF specification for a compact bit-array status list to check validity states of credentials (valid revoked suspended). Provides privacy-preserving revocation: the verifier cannot determine which specific credential is being checked from the status list position alone. Used in EUDI Wallet ecosystem for credential revocation checking without revealing holder identity to the issuer.,Draft Standard,Technology; Identity; Government,IETF OAuth Working Group,RFC-9901-SD-JWT-VC,Global,N/A,N/A,Credential Revocation; EUDI Wallet; SD-JWT VC; Privacy-Preserving Status,N/A,Medium,New,PQC Protocol Specification,yes,public/library/IETF-Token-Status-List.html,digital-id,
ENISA-EUDI-Wallet-Security,Security of the EUDI Wallet Architecture — ENISA,https://www.enisa.europa.eu/publications/security-of-the-eudi-wallet-architecture,2024-06-01,2024-06-01,Published,ENISA analysis of security risks and mitigations for the European Digital Identity Wallet architecture. Identifies EUDI Wallet providers as high-impact targets for early PQC adoption. Covers security requirements for credential formats trust framework key management (WSCD/WSCA) and protocol security. Provides recommendations for member state EUDI Wallet implementations.,Research/Report,Government; Identity; Technology; Finance,ENISA,EUDI-Wallet-ARF;eIDAS-2-Regulation,EU,N/A,N/A,EUDI Wallet Security; PQC Transition; Digital Identity Risk; WSCD; WSCA,N/A,High,New,General PQC Migration,no-http-404,,digital-id,
CSC-API-v2-Spec,Cloud Signature Consortium API v2 Specification,https://cloudsignatureconsortium.org/resources/download-api-specifications/,2022-01-01,2024-01-01,Published,Cloud Signature Consortium API v2 for remote digital signature services. Defines endpoints for credential listing (/csc/v2/credentials/list) credential information (/csc/v2/credentials/info) authorization (/csc/v2/credentials/authorize) and hash signing (/csc/v2/signatures/signHash). Supports Qualified Electronic Signatures (QES) via remote HSMs. Adopted by eIDAS trust service providers (QTSPs) for EUDI Wallet-compatible SCAL2 signature services.,Technical Specification,Government; Finance; Legal; Technology,Cloud Signature Consortium,ETSI-EN-319-411;eIDAS-2-Regulation,EU; Global,N/A,N/A,QES; Remote Digital Signature; EUDI Wallet QTSP; CSC API; SCAL2,N/A,High,New,General PQC Migration,yes,public/library/CSC-API-v2-Spec.html,digital-id,
ETSI-EN-319-411,ETSI EN 319 411 — Requirements for Trust Service Providers Issuing Certificates,https://www.etsi.org/deliver/etsi_en/319400_319499/31941101/01.03.01_60/en_31941101v010301p.pdf,2016-02-01,2021-04-01,Published Standard,ETSI standard defining policy and security requirements for Qualified Trust Service Providers (QTSPs) issuing qualified certificates under eIDAS. Forms the basis for European CA auditing under WebTrust/ETSI audit schemes and the EUDI Trust Framework for credential issuer accreditation. Part 1 covers general requirements; Part 2 covers NCP/NCP+/QCP/eIDAS policies.,Standard,Government; Finance; Legal; PKI,ETSI,eIDAS-2-Regulation,EU,N/A,N/A,QTSP Requirements; QES; European PKI; EUDI Trust Framework; CA Auditing,N/A,High,New,General PQC Migration,yes,public/library/ETSI-EN-319-411.pdf,digital-id,
NIST-SP-800-63-3,NIST SP 800-63-3 — Digital Identity Guidelines,https://pages.nist.gov/800-63-3/,2017-06-22,2017-06-22,Published,NIST framework for digital identity management. SP 800-63A covers identity proofing and enrollment (Identity Assurance Levels IAL1/2/3). SP 800-63B covers authentication (Authenticator Assurance Levels AAL1/2/3). SP 800-63C covers federation (Federation Assurance Levels FAL1/2/3). Referenced in EUDI Wallet implementations for IAL/AAL equivalency mapping with European LoA (Low Substantial High).,Guideline,Government; Finance; Healthcare; Technology,NIST,,USA; Global,N/A,N/A,Digital Identity Assurance; IAL; AAL; FAL; Federation; Identity Proofing,N/A,Medium,New,General PQC Migration,yes,public/library/NIST-SP-800-63-3.html,digital-id,
NIST-SP-800-131A-Rev3,Transitioning the Use of Cryptographic Algorithms and Key Lengths (Rev 3),https://csrc.nist.gov/pubs/sp/800/131/a/r3/ipd,2024-11-01,2024-11-01,Initial Public Draft,Algorithm deprecation roadmap: SHA-1 and RSA/ECC <128-bit disallowed after 2030. Establishes federal algorithm retirement calendar aligned with PQC transition. References FIPS 203/204/205 as post-2030 replacements.,Compliance/Guidance,All industries,NIST,,Global,RSA; ECC; SHA; AES,,,,High,New,General Recommendations,yes,public/library/NIST-SP-800-131A-Rev3.html,compliance-strategy;pqc-risk-management;data-asset-sensitivity,
India-DST-Quantum-Safe-Roadmap-2026,Implementation of Quantum Safe Ecosystem in India — Report of the Task Force,https://dst.gov.in/sites/default/files/Report_TaskForce_PQMigration_4Feb26%20(v1).pdf,2026-02-04,2026-02-04,Published,India's national PQC migration roadmap from the Department of Science & Technology. Sets 2027–2029 migration timelines for Critical Information Infrastructure. Recommends hybrid PQC+QKD approach with industry-specific deadlines. First major non-Western official quantum-safe roadmap.,Compliance/Policy,Government; Finance; Telecom; Critical Infrastructure,India Ministry of Science & Technology (DST),,India; APAC,ML-KEM; ML-DSA; QKD,,,,High,New,Government Guidance,yes,public/library/India-DST-Quantum-Safe-Roadmap-2026.pdf,compliance-strategy;migration-program,
WEF-2026-Quantum-Security-Leaders,Why quantum security is a question leaders cannot ignore,https://www.weforum.org/stories/2026/02/quantum-security-question-leaders-cannot-ignore/,2026-02-01,2026-02-01,Published,World Economic Forum perspective for C-suite and board audiences on quantum security strategic risk. Frames PQC migration as a board-level priority with competitive and regulatory dimensions. Part of WEF's ongoing series on quantum readiness for business leaders.,Guidance,All industries,World Economic Forum (WEF),,Global,,,,,High,New,General Recommendations,no-forbidden,,pqc-business-case;pqc-governance,
NIST-SP-800-22-R1A,SP 800-22 Rev. 1a: A Statistical Test Suite for Random and Pseudorandom Number Generators for Cryptographic Applications,https://csrc.nist.gov/pubs/sp/800/22/r1a/final,2010-04-01,2010-04-01,Published,"NIST statistical test suite defining 15 statistical tests (Monobit, Runs, Chi-Squared, DFT, Serial, and more) for evaluating randomness quality of bit sequences produced by cryptographic RBGs. Used for validating entropy source output quality prior to NIST ESV submission.",Standard,All Industries,NIST,NIST-SP-800-90B,USA; Global,N/A,,Entropy testing; RBG validation; Entropy source qualification,NIST STS; dieharder; TestU01; OpenSSL,Medium,New,General Recommendations,no-http-404,,entropy-randomness,
BSI-AIS-20-31,AIS 20/AIS 31: Functionality Classes and Evaluation Methodology for Deterministic and Physical Random Number Generators,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Certification/Interpretations/AIS_20_AIS_31_Functionality_classes_for_random_number_generators_e.html,2011-09-01,2024-09-01,Published,BSI (Germany) standard defining functionality classes DRG.1–DRG.4 for deterministic RNGs and PTG.1–PTG.3 for physical/true RNGs. AIS 31 compliance is required for Common Criteria RNG evaluations and is cited by QRNG hardware certifications including ID Quantique Quantis.,Standard,All Industries,BSI,,Europe; Global,N/A,,TRNG/DRBG certification; QRNG hardware validation; Common Criteria,Common Criteria; QRNG hardware; HSM firmware,Medium,New,General Recommendations,no-http-404,,entropy-randomness,
GRI-Quantum-Threat-Timeline-2024,2024 Quantum Threat Timeline Report,https://globalriskinstitute.org/publication/2024-quantum-threat-timeline-report/,2024-11-14,2024-11-14,Final Report,Annual expert survey projecting the probability and timeline of a cryptographically-relevant quantum computer (CRQC). Projects 5–15% probability by 2030 and 50% by 2034–2039. Foundational source for Mosca's Theorem and HNDL/HNFL risk calculations.,Research/Report,Government; Finance; Critical Infrastructure; All,Global Risk Institute,,Global,N/A,N/A,N/A,N/A,High,New,Research/Report,yes,public/library/GRI-Quantum-Threat-Timeline-2024.html,quantum-threats;pqc-risk-management;migration-program;data-asset-sensitivity,
RFC 5652,Cryptographic Message Syntax (CMS),https://www.rfc-editor.org/rfc/rfc5652.html,2009-09-01,2009-09-01,Proposed Standard,"Core CMS standard defining SignedData, EnvelopedData, and AuthEnvelopedData structures. Foundation for S/MIME email signing and encryption. All PQC CMS RFCs (9629, 9882, 9814, 9708, 9690) extend this format.",Protocol,Email; Document Signing; Code Signing; PKI,IETF SMIME WG,,International,Classical,Various,S/MIME; CMS; document signing; email encryption,OpenSSL; Bouncy Castle; GnuPG,High,New,Protocols,yes,public/library/RFC_5652.html,code-signing;email-signing;pki-workshop,
RFC 5083,Using Advanced Encryption Standard (AES) Counter with CBC-MAC (AES-CCM) and AES Galois/Counter Mode (AES-GCM) Algorithms in the Cryptographic Message Syntax (CMS),https://www.rfc-editor.org/rfc/rfc5083.html,2007-11-01,2007-11-01,Proposed Standard,Defines AuthEnvelopedData content type for AEAD-based encryption in CMS. The authenticated-enveloped structure with AES-GCM provides both confidentiality and integrity — the preferred encryption mode for PQC email migration via RFC 9629.,Protocol,Email; Document Signing; Secure Messaging,IETF SMIME WG,RFC 5652,International,Classical / Symmetric,Various,CMS AuthEnvelopedData; S/MIME; email encryption,OpenSSL; Bouncy Castle,High,New,Protocols,yes,public/library/RFC_5083.html,email-signing,
IETF RFC 7296,Internet Key Exchange Protocol Version 2 (IKEv2),https://www.rfc-editor.org/rfc/rfc7296.html,2014-10-01,2014-10-01,Standards Track RFC,"Defines IKEv2 for establishing IPsec Security Associations. Foundational protocol for VPN key exchange; all PQC IKEv2 extensions (RFC 9370, draft-ietf-ipsecme-ikev2-mlkem) build on this specification.",Protocol,VPN; IPsec; Enterprise; Government; Critical Infrastructure,IETF IPSECME,RFC 4301;RFC 4303,International,Diffie-Hellman; RSA; ECDH,N/A,IKEv2/IPsec VPN,StrongSwan; Libreswan; Cisco IOS; Juniper Junos,High,Validated,Protocols,yes,public/library/IETF_RFC_7296.html,vpn-ssh-pqc;qkd,
IETF RFC 8731,Use of Curve25519 and Curve448 in the Secure Shell (SSH) Protocol,https://www.rfc-editor.org/rfc/rfc8731.html,2020-02-01,2020-02-01,Standards Track RFC,Defines curve25519-sha256 and curve448-sha512 key exchange for SSH. The classical KEX baseline that mlkem768x25519-sha256 hybrid extends for post-quantum SSH in OpenSSH 9.9+.,Protocol,Remote Access; Enterprise; Government; DevOps,IETF CURDLE WG,RFC 4251;RFC 4253,International,Elliptic Curve (X25519),L3,SSH key exchange,OpenSSH 6.5+; wolfSSH; Dropbear,High,Validated,Protocols,yes,public/library/IETF_RFC_8731.html,vpn-ssh-pqc,
Rosenpass-Protocol,Rosenpass: Formally Verified Post-Quantum Protocol for WireGuard,https://rosenpass.eu/whitepaper.pdf,2023-02-01,2024-06-01,White Paper,Defines the Rosenpass protocol for adding PQC to WireGuard. Runs a separate ML-KEM-768 + Classic McEliece handshake and injects the combined shared secret as a WireGuard pre-shared key (PSK). Formally verified with ProVerif.,Protocol,VPN; Privacy; Enterprise; Consumer,Rosenpass e.V.,FIPS 203,International,Lattice-based (ML-KEM); Code-based (Classic McEliece),L1; L5,WireGuard PQC key exchange,Mullvad VPN; rosenpass open-source daemon,High,New,Protocols,yes,public/library/Rosenpass-Protocol.pdf,vpn-ssh-pqc,WireGuard Protocol
NSA-QKD-Advisory-2023,NSA Quantum Key Distribution and Quantum Cryptography,https://media.defense.gov/2023/Oct/24/2003324189/-1/-1/0/QUANTUM_KEY_DISTRIBUTION_QUANTUM_CRYPTOGRAPHY_20231024.PDF,2023-10-24,2023-10-24,Published,"NSA advisory explaining why it does not recommend QKD for national security systems. States that QKD addresses only the key distribution problem, requires special-purpose equipment, introduces trusted node vulnerabilities, and has side-channel risks in real implementations. Recommends PQC (CNSA 2.0 algorithms) as the primary solution. Key reference for balanced QKD vs PQC evaluation.",Guidance,Government;Defense;Finance,National Security Agency (NSA),,Global,QKD,All,QKD; Key Distribution,,High,,Government Guidance,no-forbidden,,qkd,
IETF RFC 4253,The Secure Shell (SSH) Transport Layer Protocol,https://www.rfc-editor.org/rfc/rfc4253.html,2006-01-01,2006-01-01,Standards Track RFC,"Defines the SSH transport layer including key exchange, server authentication, and encryption. The key exchange phase is where QKD-derived pre-shared keys can be injected via the ext-info mechanism or future SSH KEX extensions. Foundational standard for understanding QKD integration into SSH.",Protocol,All,IETF,,Global,SSH,All,SSH,,Medium,,PQC Protocol Specification,yes,public/library/IETF_RFC_4253.html,vpn-ssh-pqc;qkd,
IEEE-802-1AE-2018,IEEE 802.1AE-2018: MAC Security (MACsec),https://standards.ieee.org/ieee/802.1AE/6095/,2006-08-01,2018-12-01,IEEE Standard,"Defines MACsec — IEEE Layer 2 encryption standard for Ethernet networks. MACsec uses AES-GCM-128/256 for confidentiality and integrity. QKD-derived keys can be injected as Secure Association Keys (SAKs) via the MACsec Key Agreement (MKA) protocol, making MACsec a natural integration point for QKD in enterprise and telecom networks.",Protocol,Finance;Government;Telecom;Enterprise,IEEE 802.1 Working Group,,Global,AES-GCM; QKD integration,AES-128; AES-256,MACsec; Layer 2 encryption; QKD key injection,,Medium,,PQC Protocol Specification,yes,public/library/IEEE-802-1AE-2018.html,vpn-ssh-pqc;qkd,
draft-ietf-jose-pqc-kem,Use of Post-Quantum Key Encapsulation Mechanisms in JOSE,https://datatracker.ietf.org/doc/draft-ietf-jose-pqc-kem/,2024-01-01,2025-11-01,Internet-Draft,"Defines how to use ML-KEM (FIPS 203) within JOSE/JWE for quantum-safe token encryption. Introduces alg identifiers ML-KEM-512, ML-KEM-768, ML-KEM-1024 for JWE key agreement, replacing quantum-vulnerable ECDH-ES. Companion to draft-ietf-jose-pqc-algorithms for signature migration.",Standard (Draft),IT;Finance;Identity Management;APIs,IETF JOSE WG,FIPS 203;RFC 7516;RFC 7517;RFC 7518,Global,ML-KEM,L1;L3;L5,JOSE;JWE;JWK;COSE;Token Encryption,In development,High,New,Protocols,yes,public/library/draft-ietf-jose-pqc-kem.html,api-security-jwt,
draft-ietf-jose-pqc-algorithms,Use of Post-Quantum Algorithms in JOSE,https://datatracker.ietf.org/doc/draft-ietf-jose-pqc-algorithms/,2024-01-01,2026-01-01,Internet-Draft,"Defines how to use ML-DSA (FIPS 204) and SLH-DSA (FIPS 205) as digital signature algorithms in JOSE JWS. Specifies alg identifiers ML-DSA-44, ML-DSA-65, ML-DSA-87, SLH-DSA-SHA2-128s and others for signing JWTs. The critical standard enabling PQC JWT signing across all JOSE implementations.",Standard (Draft),IT;Finance;Identity Management;APIs,IETF JOSE WG,FIPS 204;FIPS 205;RFC 7515;RFC 7518,Global,ML-DSA;SLH-DSA,L1;L2;L3;L5,JOSE;JWS;JWT Signing;COSE,In development,High,New,Protocols,no-http-404,,api-security-jwt,
RFC 8725,JSON Web Token Best Current Practices,https://www.rfc-editor.org/rfc/rfc8725.html,2020-02-01,2020-02-01,Best Current Practice,"Documents security pitfalls and best practices for JWT usage including algorithm confusion attacks, none-algorithm vulnerabilities, audience validation, and expiry enforcement. Essential security hardening baseline before migrating JWT signing algorithms to PQC alternatives.",Guidance,IT;Finance;Identity Management;APIs,IETF,RFC 7515;RFC 7519,Global,,,JWT;JWS;OAuth 2.0;OIDC,All JOSE implementations,High,New,Protocols,yes,public/library/RFC_8725.html,api-security-jwt,
RFC 7519,JSON Web Token (JWT),https://www.rfc-editor.org/rfc/rfc7519.html,2015-05-01,2015-05-01,Proposed Standard,"Defines JWT as a compact URL-safe representation of claims between parties. Specifies the three-part structure (header.payload.signature), registered claim names (iss, sub, aud, exp, iat), and how JWS and JWE are used for signing and encryption. Foundation document for all JWT-based PQC migration work.",Standard,IT;Finance;Identity Management;APIs,IETF,RFC 7515;RFC 7516;RFC 7518,Global,,,JWT;OAuth 2.0;OIDC,Universal,High,New,Protocols,yes,public/library/RFC_7519.html,api-security-jwt,
RFC 7515,JSON Web Signature (JWS),https://www.rfc-editor.org/rfc/rfc7515.html,2015-05-01,2015-05-01,Proposed Standard,Defines the JWS standard for representing digitally signed content in JSON. Specifies the compact serialization (header.payload.signature) used in every signed JWT and the alg header parameter registry that PQC JOSE drafts extend with ML-DSA and SLH-DSA identifiers.,Standard,IT;Finance;Identity Management;APIs,IETF,RFC 7517;RFC 7518,Global,,,JWS;JWT;JOSE,Universal,High,New,Protocols,yes,public/library/RFC_7515.html,api-security-jwt,
RFC 7516,JSON Web Encryption (JWE),https://www.rfc-editor.org/rfc/rfc7516.html,2015-05-01,2015-05-01,Proposed Standard,"Defines the JWE standard for encrypting arbitrary content using JSON data structures. Specifies the 5-part compact serialization and key agreement mechanisms (ECDH-ES, RSA-OAEP) that ML-KEM replaces in PQC migration. Core reference for JWE encryption and PQC token confidentiality.",Standard,IT;Finance;Identity Management;APIs,IETF,RFC 7517;RFC 7518,Global,,,JWE;JWT;JOSE;Key Encapsulation,Universal,High,New,Protocols,yes,public/library/RFC_7516.html,api-security-jwt,
RFC 7517,JSON Web Key (JWK),https://www.rfc-editor.org/rfc/rfc7517.html,2015-05-01,2015-05-01,Proposed Standard,"Defines the JWK format for representing cryptographic keys as JSON. JWKS endpoints publish public keys for JWT signature verification. PQC migration significantly increases JWKS response sizes: ML-DSA-65 public keys are 1952 bytes vs 65 bytes for P-256, challenging HTTP header limits and caching strategies.",Standard,IT;Finance;Identity Management;APIs,IETF,RFC 7518,Global,,,JWK;JWKS;JWT Verification;Key Distribution,Universal,High,New,Protocols,yes,public/library/RFC_7517.html,api-security-jwt,
RFC 7518,JSON Web Algorithms (JWA),https://www.rfc-editor.org/rfc/rfc7518.html,2015-05-01,2015-05-01,Proposed Standard,"Defines the algorithm registry for JOSE including RS256, ES256, ECDH-ES, AES-GCM, and HMAC. All currently registered signature and key agreement algorithms are quantum-vulnerable to Shor's algorithm. PQC JOSE drafts extend this registry with ML-DSA and ML-KEM algorithm identifiers.",Standard,IT;Finance;Identity Management;APIs,IETF,,Global,,,JOSE Algorithm Registry;JWT;JWS;JWE,Universal,High,New,Protocols,yes,public/library/RFC_7518.html,api-security-jwt,
RFC 6749,The OAuth 2.0 Authorization Framework,https://www.rfc-editor.org/rfc/rfc6749.html,2012-10-01,2012-10-01,Proposed Standard,Defines the OAuth 2.0 authorization framework enabling secure delegated access using access tokens. Access tokens and ID tokens issued by authorization servers are typically JWTs signed with RSA or ECDSA. PQC migration requires updating JWT signing across all OAuth authorization servers and resource server token validation.,Standard,IT;Finance;Identity Management;APIs;Government,IETF,,Global,,,OAuth 2.0;JWT Access Tokens;API Authorization,Universal,High,New,Protocols,yes,public/library/RFC_6749.html,api-security-jwt,
RFC 9449,OAuth 2.0 Demonstrating Proof of Possession (DPoP),https://www.rfc-editor.org/rfc/rfc9449.html,2023-09-01,2023-09-01,Proposed Standard,Defines DPoP for binding OAuth 2.0 tokens to a client public key using signed proof-of-possession JWTs. DPoP proof JWTs use ECDSA signatures that are quantum-vulnerable. Migration to ML-DSA-signed DPoP proofs requires JOSE PQC standardization and results in significantly larger proof headers per request.,Standard,IT;Finance;Identity Management;APIs;Government,IETF,RFC 6749;RFC 7515;RFC 7517,Global,,,OAuth 2.0;DPoP;Token Binding;API Security,Major OAuth 2.0 server frameworks,Medium,New,Protocols,yes,public/library/RFC_9449.html,api-security-jwt,
NIST-SP-800-57-Pt1-R5,Recommendation for Key Management: Part 1 – General (Revision 5),https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-57pt1r5.pdf,2020-05-04,2020-05-04,Final,"Primary NIST key management guideline covering key lifecycle (generation, distribution, storage, usage, rotation, archival, destruction), key types, cryptoperiods, FIPS 140 integration, and key compromise procedures. Foundation for all enterprise key management policy and HSM deployment.",Compliance/Guidance,Government; Finance; Healthcare; Defense; Enterprise IT,NIST,,USA; Global,All,N/A,Key management policy and HSM deployment,Reference guidance,High,New,General PQC Migration,yes,public/library/NIST-SP-800-57-Pt1-R5.pdf,kms-pqc;hsm-pqc,
