software_name,category_id,category_name,infrastructure_layer,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date,migration_phases,learning_modules,vendor_id
Entrust nShield,CSC-002,Hardware Security Module (HSM) Software,Hardware,Yes (ML-KEM ML-DSA SLH-DSA LMS XMSS),"Full PQC suite in firmware v13.8.0+. ML-KEM (512/768/1024), ML-DSA (44/65/87), SLH-DSA (all 12 param sets) natively via PKCS#11. LMS/HSS and XMSS available via PQSDK C API. All CAVP validated Sep 2025. FIPS 140-3 Level 3 (cert #4765; PQC resubmission pending).",Commercial,Commercial,13.x,2025,Yes (FIPS 140-3 L3),Critical,Linux Windows,"Finance, Government, Healthcare, Defense",https://www.entrust.com/digital-security/hsm,,"Enterprise HSM with full NIST PQC suite. Native ML-KEM, ML-DSA, SLH-DSA (all 12 param sets) in firmware v13.8.0+, CAVP validated. LMS/XMSS via PQSDK. CodeSafe secure execution. CNG and JCE interfaces supported.",Trusted Vendor,Verified,2026-03-24,"prepare,migrate,launch",aerospace-pqc;compliance-strategy;healthcare-pqc;hsm-pqc;pqc-governance;vendor-risk,VND-013
Thales Luna HSM,CSC-002,Hardware Security Module (HSM) Software,Hardware,Yes (ML-KEM ML-DSA LMS/HSS),Production-ready PQC with native ML-KEM (FIPS 203) ML-DSA (FIPS 204) and LMS/HSS (SP 800-208) support integrated into firmware v7.9+. Software v7.9.1 adds hybrid KEM (ML-KEM) for NTLS SSH and REST APIs. FW v7.9.2 adds Cryptographic Bill of Materials (CBOM) via REST API PQC key attestation and USB HSM (G7) PQC extension. FIPS 140-3 Level 3 validated; PQC-inclusive FIPS 140-3 certification in progress.,Commercial,Commercial,7.9.2,2026-02-05,Yes (FIPS 140-3 L3),Critical,Linux Windows,"Finance, Government, Healthcare, Defense",https://cpl.thalesgroup.com/encryption/hardware-security-modules,,Enterprise HSM with production-ready native PQC algorithms. FIPS 140-3 Level 3 validated with ML-KEM and ML-DSA.,Trusted Vendor,Verified,2026-03-24,"prepare,migrate,launch",aerospace-pqc;compliance-strategy;healthcare-pqc;hsm-pqc;migration-program;pqc-governance;vendor-risk,VND-041
Utimaco SecurityServer,CSC-002,Hardware Security Module (HSM) Software,Hardware,Yes (ML-KEM ML-DSA LMS XMSS),"Full PQC support via Q-safe firmware extension (v5.0+). Supports ML-KEM-512/768/1024, ML-DSA-44/65/87, XMSS, and LMS. Highest physical security at FIPS 140-2 Level 4. Supports custom PQC algorithm loading through CryptoServer SDK. Available in network and PCIe form factors.",Commercial,Commercial,5.x,2025,Yes (FIPS 140-2 L3 #3886 #3925; sunset 2026-09-21),Critical,Linux Windows,"Finance, Government, Healthcare, Defense",https://utimaco.com/,,General purpose HSM platform for enterprise cryptographic operations and key management.,Trusted Vendor,Verified,2026-03-25,"prepare,migrate,launch",aerospace-pqc;healthcare-pqc;hsm-pqc;kms-pqc,VND-042
HashiCorp Vault,CSC-003,Key Management Systems (KMS),Security Stack,Yes (ML-DSA SLH-DSA in Transit experimental),Experimental support for ML-DSA and SLH-DSA in Transit secrets engine. Enables quantum-resistant signing-as-a-service for protecting data in transit. Early adoption in enterprise secrets management.,Commercial,BUSL-1.1/Enterprise,1.21.4,2026-01-07,Yes (Enterprise FIPS 140-3 build),High,Linux Windows macOS Kubernetes,All industries,https://developer.hashicorp.com/vault,https://github.com/hashicorp/vault,Enterprise secrets management encryption-as-a-service and privileged access management. Supports PKI SSH transit encryption.,Trusted Vendor,Verified,2026-02-13,"migrate,launch,rampup",arch-quantum-impact;database-encryption-pqc;kms-pqc;ops-quantum-impact;platform-eng-pqc;secrets-management-pqc,VND-058
Entrust KeyControl,CSC-003,Key Management Systems (KMS),Security Stack,Yes (ML-KEM ML-DSA SLH-DSA),Full PQC key management with ML-KEM ML-DSA and SLH-DSA key types. Supports encapsulation decapsulation sign and verify operations. PQ-TLS for KMIP connections. nShield 5 HSM v13.8.0 natively supports PQC with CAVP validation.,Commercial,Commercial,10.4.3,2025,Yes (nShield 5 FIPS 140-3 L3),Critical,Linux Virtual Appliance Cloud,"Finance, Government, Healthcare, Defense",https://www.entrust.com/products/key-management/keycontrol,,Enterprise key management with production PQC key types. Integrated with nShield 5 HSMs for hardware-accelerated quantum-safe key lifecycle.,Trusted Vendor,Verified,2026-02-16,"migrate,launch,rampup",aerospace-pqc;arch-quantum-impact;database-encryption-pqc;healthcare-pqc;hsm-pqc;kms-pqc;ops-quantum-impact;pqc-business-case,VND-013
IBM Guardium Key Lifecycle Manager,CSC-003,Key Management Systems (KMS),Security Stack,Planned (via Guardium Cryptography Manager),GKLM does not have PQC key types yet. IBM launched Guardium Cryptography Manager (Oct 2025) for PQC migration with posture visibility and remediation workflows. GKLM supports crypto-agility for future PQC adoption.,Commercial,Commercial (IBM),5.1,2025-12-19,Yes (FIPS 140-3 L1 / optional L3 with HSM),Critical,Linux AIX Windows,"Finance, Government, Healthcare",https://www.ibm.com/products/guardium-key-lifecycle-manager,,Enterprise key lifecycle management with KMIP support. PQC migration via companion Guardium Cryptography Manager.,Trusted Vendor,Verified,2026-02-16,"migrate,launch,rampup",arch-quantum-impact;healthcare-pqc;kms-pqc;migration-program;ops-quantum-impact,VND-019
Oracle Key Vault,CSC-003,Key Management Systems (KMS),Security Stack,No (Planned via Oracle ecosystem),No PQC features in v21.13. Oracle PQC efforts focused on database TLS (ML-KEM in Oracle 26ai) and JDK-level PQC (ML-DSA in JDK 26). Key Vault PQC expected via Oracle ecosystem integration.,Commercial,Commercial (Oracle),21.13,2025-12-19,Yes (Oracle FIPS mode),High,Oracle Linux Oracle Database Appliance,"Finance, Government, Healthcare",https://docs.oracle.com/en/database/oracle/key-vault/,,Oracle database encryption key management. PQC not yet available; expected through broader Oracle platform PQC rollout.,Trusted Vendor,Verified,2026-02-16,"migrate,launch,rampup",arch-quantum-impact;healthcare-pqc;kms-pqc;ops-quantum-impact,VND-029
Utimaco ESKM,CSC-003,Key Management Systems (KMS),Security Stack,Yes (ML-KEM ML-DSA LMS XMSS),PQC key management via u.trust Anchor HSM with Quantum Protect package. ML-KEM ML-DSA and LMS passed NIST CAVP testing (Oct 2025). First industry-certified KMIP v2.1 implementation.,Commercial,Commercial,8.54,2025,Yes (u.trust Anchor FIPS 140-2 L3),Critical,Linux Virtual Appliance,"Finance, Government, Healthcare, Defense",https://utimaco.com/data-protection/key-management/enterprise-secure-key-manager,,Enterprise key management with PQC-ready architecture. Integrated with u.trust Anchor HSM for quantum-safe key lifecycle.,Trusted Vendor,Verified,2026-02-16,"migrate,launch,rampup",aerospace-pqc;arch-quantum-impact;healthcare-pqc;hsm-pqc;kms-pqc;ops-quantum-impact,VND-042
Keyfactor EJBCA,CSC-004,Public Key Infrastructure (PKI) Software,Security Stack,Yes (ML-DSA; ML-KEM; SLH-DSA),"Commercial PKI platform with full PQC certificate lifecycle management. Supports quantum-safe certificate issuance, renewal, and revocation for enterprise PKI infrastructure. EJBCA v9.3.4+ provides FIPS 140-3 compatibility via Bouncy Castle FIPS Java API (BC-FJA). The EJBCA Hardware Appliance includes a FIPS 140-2 Level 3 certified HSM.",Commercial,Commercial,Enterprise 9.x,2025,Yes (FIPS 140-3 via BC-FJA; FIPS 140-2 appliance HSM),Critical,Cloud Linux Windows,All industries,https://www.keyfactor.com/,https://github.com/Keyfactor/ejbca-ce,Commercial enterprise PKI platform with cloud deployment HSM integration and crypto agility features.,Trusted Vendor,Verified,2026-02-13,"migrate,launch",arch-quantum-impact;hsm-pqc;merkle-tree-certs;migration-program;ops-quantum-impact;pki-workshop;pqc-governance,VND-024
Venafi Trust Protection Platform,CSC-004,Public Key Infrastructure (PKI) Software,Security Stack,Yes (Crypto agility; ML-DSA and SLH-DSA experimental in v24.1+),Crypto agility features enable PQC algorithm management across enterprise certificate infrastructure. Automated discovery and migration planning for quantum-safe PKI transition.,Commercial,Commercial,Current,2025,Yes,Critical,Cloud Enterprise,All industries,https://venafi.com/,,Machine identity management platform. Automates certificate lifecycle across enterprise infrastructure.,Trusted Vendor,Verified,2026-02-13,"migrate,launch",arch-quantum-impact;crypto-dev-apis;hsm-pqc;kms-pqc;merkle-tree-certs;ops-quantum-impact;pki-workshop;pqc-governance,VND-059
AWS s2n-tls,CSC-005,TLS/SSL Implementation Software,Application,Yes (ML-KEM hybrid),AWS TLS implementation with ML-KEM hybrid key exchange. Kyber support removed in v1.7.0 in favor of standardized ML-KEM only. Used across AWS services to provide quantum-safe communications. Designed for high-performance cloud environments.,Open Source,Apache-2.0,1.7.0,2026-01-31,No,Critical,Linux,All industries,https://github.com/aws/s2n-tls,https://github.com/aws/s2n-tls,AWS's C99 implementation of TLS/SSL protocols. Designed for simplicity security and performance. Kyber removed in v1.7.0; ML-KEM only.,Community/Commercial,Verified,2026-02-13,"test,migrate",dev-quantum-impact;tls-basics,VND-001
BoringSSL,CSC-005,TLS/SSL Implementation Software,Application,Yes (ML-KEM),Google's fork with ML-KEM support. Used in Chrome browser and Google infrastructure. Pioneering deployment of quantum-safe key exchange at internet scale.,Open Source,OpenSSL/ISC,Rolling,Continuous,Yes (BoringCrypto FIPS 140-3),Critical,Linux Android Chrome,All industries,https://boringssl.googlesource.com/boringssl/,https://boringssl.googlesource.com/boringssl,Google's fork of OpenSSL optimized for Google's needs. Not intended for general use but influences industry standards.,Community/Commercial,Verified,2026-02-13,"test,migrate",crypto-agility;crypto-dev-apis;dev-quantum-impact;hybrid-crypto;os-pqc;tls-basics,VND-018
GnuTLS,CSC-005,TLS/SSL Implementation Software,Application,Yes (ML-KEM X25519MLKEM768 ML-DSA via leancrypto),Supports ML-KEM with X25519 hybrid key exchange (X25519MLKEM768) and ML-DSA signatures via leancrypto integration. liboqs support was removed in v3.8.10. Enables quantum-safe TLS in GNU/Linux applications.,Open Source,LGPLv2.1+,3.8.12,2026-02-09,No,Critical,Linux Unix,All industries,https://www.gnutls.org/,https://gitlab.com/gnutls/gnutls,GNU implementation of TLS SSL and DTLS protocols. Features SRP X.509 OpenPGP authentication. Used by many GNU/Linux applications.,Community/Commercial,Verified,2026-02-13,"test,migrate",dev-quantum-impact;os-pqc;tls-basics,VND-062
LibreSSL,CSC-005,TLS/SSL Implementation Software,Application,Yes (ML-KEM 768/1024),ML-KEM-768 and ML-KEM-1024 imported from BoringSSL. Public API added in v4.2.0 (Oct 2025) but API is unstable and undocumented — may change in future releases. X25519MLKEM768 hybrid available in libssl. No ML-DSA or SLH-DSA support yet.,Open Source,OpenBSD/ISC,4.2.1,2025-10-30,No,Critical,OpenBSD Linux Windows FreeBSD,All industries,https://www.libressl.org/,https://github.com/libressl/portable,OpenBSD fork of OpenSSL focused on code modernization and security. Includes libtls for simplified secure programming.,Community/Commercial,Verified,2026-02-24,"test,migrate",crypto-dev-apis;dev-quantum-impact;migration-program;os-pqc;tls-basics,VND-063
rustls,CSC-005,TLS/SSL Implementation Software,Application,Yes (ML-KEM),Memory-safe TLS library with PQC support via aws-lc-rs (AWS libcrypto for Rust). Enables quantum-resistant TLS in Rust applications with zero unsafe code. Includes separate rustls-post-quantum crate.,Open Source,Apache-2.0/MIT,0.23.36,2026-01-05,No,Critical,Linux macOS Windows,All industries,https://github.com/rustls/rustls,https://github.com/rustls/rustls,Modern TLS library written in Rust. Memory-safe alternative to OpenSSL. No unsafe code in core library.,Community/Commercial,Verified,2026-02-13,"test,migrate",crypto-dev-apis;dev-quantum-impact;os-pqc;tls-basics,VND-064
wolfSSL,CSC-005,TLS/SSL Implementation Software,"Application,Security Stack",Yes (ML-DSA ML-KEM LMS HSS XMSS XMSSMT),"wolfCrypt embedded crypto library with ML-DSA, ML-KEM, LMS/HSS, and XMSS/XMSSMT support. Fastest stateful hash-based signature benchmarks — faster than Cisco hash-sigs reference. wolfBoot uses LMS/HSS for quantum-safe secure firmware boot signing on embedded/IoT devices. wolfPKCS11 provides PKCS#11 API for HSM-backed stateful key state management. Widely deployed in automotive, industrial, and aerospace.",Commercial,GPLv3/Commercial,5.8.4,2025-11-21,Yes (FIPS 140-3),Critical,Embedded Linux Windows RTOS ESP32 STM32,All industries,https://www.wolfssl.com/,https://github.com/wolfSSL/wolfssl,Lightweight portable TLS/SSL library for embedded devices to cloud. Supports TLS 1.3 DTLS 1.3 with small footprint. Includes wolfCrypt crypto engine.,Trusted Vendor,Verified,2026-02-13,"test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;iot-ot-pqc;os-pqc;secure-boot-pqc;stateful-signatures;tls-basics,VND-045
SignServer,CSC-009,Digital Signature Software,Application,Yes (ML-DSA SLH-DSA),SignServer 7.3 is the first release with end-to-end HSM testing for PQC algorithms. ML-DSA (FIPS 204) and SLH-DSA (FIPS 205) signing via Bouncy Castle. HSM integration with Fortanix DSM for PQC key storage. CMS and raw signing with REST API for CI/CD pipelines. Community edition also includes PQC capabilities.,Mixed/Dual,LGPL/Commercial,7.3,2025,Yes (via HSM),High,Linux Windows,"Finance, Legal, Government, Healthcare",https://www.signserver.org/,https://github.com/Keyfactor/signserver-ce,Open source signing platform with production ML-DSA and SLH-DSA support via Bouncy Castle. HSM integration with Fortanix DSM for PQC key storage.,Open Source Foundation,Verified,2026-02-24,migrate,crypto-dev-apis;email-signing;healthcare-pqc;hsm-pqc,VND-024
strongSwan,CSC-010,VPN and IPsec Software,Network,Yes (ML-KEM experimental),IPsec VPN with experimental ML-KEM support. Enables quantum-safe VPN tunnels for site-to-site and remote access scenarios. Active development for production deployment.,Open Source,GPLv2,6.0.0,2025,Yes (FIPS mode),High,Linux Android macOS,All industries,https://www.strongswan.org/,https://github.com/strongswan/strongswan,Open source IPsec-based VPN solution supporting IKEv1 IKEv2 and various authentication methods.,Community/Commercial,Verified,2026-02-13,"test,migrate",crypto-dev-apis;network-security-pqc;vpn-ssh-pqc,VND-068
Signal,CSC-011,Secure Messaging and Communication,Application,Yes (PQXDH + PQ-enhanced Double Ratchet; ML-KEM; X25519),"Signal's approach includes PQXDH for quantum-resistant messaging combining X25519, Kyber/ML-KEM, and PQ-enhanced double-ratchet protocol for forward secrecy.",Open Source,GPLv3,v0.88.0,2026-02-20,No,High,Cross-platform,"Defense, Government, Finance, Healthcare",https://signal.org/docs/,https://github.com/signalapp/libsignal,Double Ratchet protocol providing end-to-end encryption with forward secrecy and post-compromise security.,Community,Verified,2026-02-13,launch,aerospace-pqc;email-signing;healthcare-pqc;tls-basics,VND-116
OpenSSH,CSC-014,SSH Implementation Software,Application,Yes (mlkem768x25519-sha256 default; ML-KEM; X25519),Default key exchange uses mlkem768x25519-sha256 hybrid PQC since v10.0 (Apr 2025). Combines ML-KEM-768 with X25519 elliptic curve for quantum-resistant SSH connections. First major SSH implementation to deploy PQC by default (v10.0).,Open Source,BSD,10.2p1,2025-10-10,No,High,OpenBSD Linux macOS Windows,All industries,https://www.openssh.org/,https://github.com/openssh/openssh-portable,Premier connectivity tool for SSH protocol. Provides secure tunneling multiple authentication methods. Default PQC key exchange since v10.0 (Apr 2025).,Community/Commercial,Verified,2026-02-13,"test,migrate",os-pqc;vpn-ssh-pqc,VND-061
wolfSSH,CSC-014,SSH Implementation Software,Application,Yes (ML-KEM Hybrid),SSH implementation with ML-KEM and Ed25519 hybrid support. Provides quantum-resistant secure shell connections for embedded systems and IoT devices.,Commercial,GPLv3/Commercial,1.4.22,2026-01-06,No,High,Embedded Linux Windows Zephyr,All industries,https://github.com/wolfSSL/wolfssh,https://github.com/wolfSSL/wolfssh,Small fast portable SSH implementation with SCP and SFTP support. Designed for embedded and resource-constrained environments.,Community/Commercial,Verified,2026-02-13,"test,migrate",os-pqc;vpn-ssh-pqc,VND-045
liboqs,CSC-016,Post-Quantum Cryptography Libraries,"Application,Security Stack",Yes (ML-KEM ML-DSA SLH-DSA BIKE HQC FrodoKEM Classic McEliece NTRU),"Reference implementation library from Open Quantum Safe project. Comprehensive support for NIST-standardized algorithms (ML-KEM, ML-DSA, SLH-DSA) plus additional candidates including BIKE, HQC, FrodoKEM, Classic McEliece, and NTRU (re-added in 0.15.0). Serves as foundation for integrating PQC into applications and protocols.",Open Source,MIT (mixed),0.15.0,2025-11-14,No,Critical,Linux macOS Windows,All industries,https://openquantumsafe.org/,https://github.com/open-quantum-safe/liboqs,Open source C library for quantum-safe cryptographic algorithms. Part of Open Quantum Safe project under Linux Foundation PQCA.,Open Source Foundation,Verified,2026-02-13,"prepare,test",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;iot-ot-pqc;pqc-101;quantum-threats;research-quantum-impact;stateful-signatures,VND-048
oqs-provider,CSC-016,Post-Quantum Cryptography Libraries,Application,Yes (ML-KEM; ML-DSA; SLH-DSA; FrodoKEM; HQC; BIKE; Classic McEliece; FN-DSA),"OpenSSL 3 provider enabling quantum-safe cryptography in TLS 1.3, X.509 certificates, and CMS operations. Supports all liboqs algorithms and enables hybrid key exchange combining classical ECDH with PQC KEMs. Critical for quantum-safe TLS deployments.",Open Source,MIT,0.11.0,2025-12-24,No,Critical,Linux macOS Windows,All industries,https://github.com/open-quantum-safe/oqs-provider,https://github.com/open-quantum-safe/oqs-provider,OpenSSL 3 provider enabling quantum-safe and hybrid key exchange for TLS 1.3 X.509 and CMS operations.,Open Source Foundation,Verified,2026-02-13,"prepare,test",crypto-agility;crypto-dev-apis;dev-quantum-impact;hybrid-crypto;pqc-101;quantum-threats;research-quantum-impact;stateful-signatures,VND-048
SSLyze,CSC-018,Cryptographic Protocol Analyzers,Network,Detection Only,"Protocol analyzer with PQC detection capabilities. Can scan servers and identify quantum-safe cipher suites, key exchange algorithms, and certificate types. Essential for PQC deployment verification.",Open Source,AGPLv3,6.x,2025,,Medium,Python Cross-platform,All industries,https://github.com/nabla-c0d3/sslyze,https://github.com/nabla-c0d3/sslyze,Fast SSL/TLS scanning library. Analyzes server configurations.,Open Source Foundation,Verified,2026-02-13,"assess,test",arch-quantum-impact;crypto-dev-apis;ops-quantum-impact;quantum-threats;research-quantum-impact,VND-084
