id,category,type,difficulty,quiz_mode,question,option_a,option_b,option_c,option_d,correct_answer,explanation,learn_more_path,personas,industries
cda-006,crypto-dev-apis,multiple-choice,intermediate,both,Which Java method registers Bouncy Castle as a JCA provider so that ML-DSA-65 signing works via standard JCA calls?,BouncyCastleProvider.install(),Security.addProvider(new BouncyCastleProvider()),"JCE.registerProvider(""BC"")",KeyFactory.setProvider(BouncyCastle.INSTANCE),b,"Security.addProvider(new BouncyCastleProvider()) registers Bouncy Castle in the JCA provider registry. After registration, standard JCA calls like Signature.getInstance(""ML-DSA-65"", ""BC"") route to BC's implementation. This is called once at application startup.",/learn/crypto-dev-apis,developer,
cda-007,crypto-dev-apis,multiple-choice,intermediate,both,"For a regulated fintech company needing immediate PQC support, which crypto library sourcing strategy offers the best balance of algorithm availability, community auditing, and zero licensing cost?",Build Your Own,Open Source (Bouncy Castle or OpenSSL + oqsprovider),Commercial (Thales Luna HSM SDK only),None — wait for OS vendors to add native PQC support,b,"Open-source libraries like Bouncy Castle and OpenSSL+oqsprovider already have production-ready PQC support, are community-audited, and are free. ""Build Your Own"" is only justified at Google/Amazon scale due to the engineering and certification costs. Commercial HSM SDKs are complementary but not sufficient alone for application-layer PQC.",/learn/crypto-dev-apis,architect|developer,finance
cda-008,crypto-dev-apis,multiple-choice,intermediate,both,"In OpenSSL 3.x, which function enables the provider pattern by loading a named provider at runtime?",EVP_load_provider(),SSL_CTX_set_provider(),OSSL_PROVIDER_load(),ENGINE_by_id(),c,"OSSL_PROVIDER_load(NULL, ""oqsprovider"") loads a named provider into the default library context. After this call, all EVP operations can use algorithms from that provider. ENGINE_by_id() is the deprecated OpenSSL 1.x engine API — never use it in new code.",/learn/crypto-dev-apis,developer|architect,
cda-009,crypto-dev-apis,multiple-choice,intermediate,both,Which PQC crypto library is a FIPS 140-3 validated fork of BoringSSL used in AWS infrastructure?,AWS-LC,liboqs,PQClean,wolfSSL,a,AWS-LC (Amazon's Libcrypto) is Amazon's FIPS 140-3 validated fork of BoringSSL. It includes ML-KEM-768 in the FIPS module as of 2024. The aws-lc-rs Rust crate provides safe bindings. It is used internally across all AWS services for TLS.,/learn/crypto-dev-apis,developer|architect|researcher,finance|government|healthcare
cda-010,crypto-dev-apis,true-false,intermediate,both,True or False: Windows CNG (Cryptography Next Generation) currently supports ML-DSA digital signatures in production as of early 2026.,True,False,,,false,"Windows CNG does not yet support ML-DSA in production. ML-KEM appeared in Windows 11 Insider builds in 2024, and ML-DSA is on the roadmap for Windows Server 2026+. Organizations needing PQC signing on Windows today must use OpenSSL, Bouncy Castle, or another library alongside CNG.",/learn/crypto-dev-apis,developer|architect,government|finance
cda-011,crypto-dev-apis,multiple-choice,advanced,both,"In PKCS#11 v3.2, which mechanism family is used for ML-DSA digital signature operations?",CKM_RSA_PKCS_*,CKM_ECDSA_*,CKM_SHA3_*,CKM_ML_DSA_*,d,"PKCS#11 v3.2 (2023) introduced CKM_ML_DSA_* mechanisms for ML-DSA signing and CKM_ML_KEM_* for ML-KEM encapsulation. The mechanism structure is: CK_MECHANISM mech = { CKM_ML_DSA_44, NULL, 0 } for the ML-DSA-44 parameter set. HSM vendors (Thales Luna 10.x, Utimaco) are beginning to implement these mechanisms.",/learn/crypto-dev-apis,developer|architect,
cda-012,crypto-dev-apis,multiple-choice,advanced,both,Which crypto agility pattern enables A/B testing and gradual rollout between classical and PQC algorithms without redeploying application code?,Provider Abstraction,Configuration-Driven Algorithm Selection,Hybrid/Composite Operations,Algorithm Negotiation,b,"Configuration-Driven Selection externalizes the algorithm name (e.g., crypto.algorithm=ML-DSA-65 in a config file or environment variable). This enables runtime algorithm changes without code deploys, A/B testing between algorithm variants, and FIPS/non-FIPS environment differentiation from the same binary.",/learn/crypto-dev-apis,developer|architect,
cda-013,crypto-dev-apis,multiple-choice,advanced,both,"What is the correct dependency chain between PQClean, liboqs, and OpenSSL oqsprovider?",PQClean → liboqs → oqsprovider → OpenSSL,liboqs → PQClean → oqsprovider → OpenSSL,oqsprovider → liboqs → PQClean → OpenSSL,OpenSSL → oqsprovider → liboqs → PQClean,a,PQClean provides audited reference C implementations. liboqs integrates PQClean implementations (plus optimized variants) into a unified C library with a common API. oqsprovider wraps liboqs as an OpenSSL 3.x provider. OpenSSL applications then consume PQC algorithms via the standard EVP API through this chain.,/learn/crypto-dev-apis,developer|architect|researcher,
cda-014,crypto-dev-apis,multiple-choice,advanced,both,A team is building a key management service that handles ML-KEM key generation and wrapping. They prioritize compile-time prevention of key material exposure over ecosystem maturity. Which language is the best fit?,Rust,Java,Python,Go,a,"Rust's ownership/borrow checker prevents use-after-free on key buffers at compile time — not at runtime. The aws-lc-rs and pqcrypto crates provide production-ready PQC support. Java is a strong second (Bouncy Castle, zero-copy APIs) but GC non-determinism means key material may persist in memory longer. Python is unsuitable for production key handling.",/learn/crypto-dev-apis,developer|architect,finance|government
cda-015,crypto-dev-apis,multiple-choice,advanced,both,JCProv is primarily used to bridge which two technologies in an enterprise Java application?,JCA/JCE and PKCS#11 hardware security modules,Bouncy Castle and Windows CNG,OpenSSL and Java KeyStore,JSSE and FIPS 140-3 certified modules,a,"JCProv (from Thales/SafeNet) is a JCA provider that wraps PKCS#11. Once registered via Security.addProvider(), standard JCA calls like Signature.getInstance('ML-DSA-65', 'JCProv') route through PKCS#11 to the Luna or SafeNet HSM. Private key material never enters JVM heap memory — the HSM handles all key operations with opaque handles.",/learn/crypto-dev-apis,developer|architect,finance|government|healthcare
pep-001,platform-eng-pqc,multiple-choice,beginner,both,What does HNDL stand for in the context of CI/CD pipeline security?,High-Node Dependency Layer,Harvest-Now-Decrypt-Later,Hash-Node-Deploy-Link,Hybrid-Network-Data-Layer,b,"Harvest-Now-Decrypt-Later (HNDL) describes the adversary strategy of capturing encrypted data today — before a cryptographically relevant quantum computer (CRQC) exists — and storing it for decryption once a CRQC becomes available. CI/CD pipelines are high-value targets because they produce long-lived signed artifacts (container images, SBOMs, build attestations) that an adversary can harvest now and decrypt later when they gain a CRQC.",/learn/platform-eng-pqc,ops|developer|architect,
pep-002,platform-eng-pqc,multiple-choice,intermediate,both,Which CI/CD pipeline assets have the HIGHEST HNDL exposure because they are captured and stored for long periods?,Build logs and unit test results,Ephemeral build container filesystems,Container image signatures and SBOM attestations,CI runner session tokens,c,"Container image signatures and SBOM attestations are stored in registries for years — the asset is both high-value (proves software provenance) and long-lived (retained across product lifecycle). An adversary who captures a signed SBOM today can forge provenance attestations once a CRQC breaks ECDSA. Ephemeral containers and session tokens expire quickly, reducing HNDL risk. Build logs lack cryptographic signatures that could be exploited.",/learn/platform-eng-pqc,ops|developer|architect,
pep-003,platform-eng-pqc,multiple-choice,intermediate,both,"ML-DSA-65 produces a signature of what approximate size, compared to ECDSA P-256's 64 bytes?",256 bytes (4×),"1,024 bytes (16×)","3,309 bytes (52×)","17,088 bytes (267×)",c,"ML-DSA-65 (FIPS 204, formerly CRYSTALS-Dilithium level 3) produces 3,309-byte signatures — approximately 52× larger than ECDSA P-256's 64-byte signatures. This size increase matters significantly for OCI artifact signing because every container image pull verifies signatures, and TLS handshakes carry certificate chains. Planning for storage and bandwidth expansion is a core part of PQC platform migration.",/learn/platform-eng-pqc,ops|developer|architect,
pep-004,platform-eng-pqc,multiple-choice,intermediate,both,Which PQC algorithm is preferred for long-lived SBOM attestations (20+ year validity) instead of ML-DSA?,ML-KEM-768 (FIPS 203),"SLH-DSA (FIPS 205, hash-based stateless signatures)",X-Wing hybrid KEM,FN-DSA-512 (Falcon),b,"SLH-DSA (FIPS 205, formerly SPHINCS+) is preferred for SBOMs and long-lived build attestations because it is stateless — no per-key state management required — and its security is based purely on well-studied hash function assumptions. ML-DSA is faster but relies on module lattice hardness, making SLH-DSA preferable for signatures that must remain trustworthy for 20+ years. ML-KEM is a KEM (not a signature scheme) and X-Wing is for key exchange.",/learn/platform-eng-pqc,ops|developer|architect|researcher,
pep-005,platform-eng-pqc,multiple-choice,intermediate,both,Docker Content Trust (DCT) is based on which protocol that has no PQC migration roadmap?,cosign with Rekor transparency log,Notary v1 (The Update Framework),OCI image manifest signing (RFC 9052),Notation with AWS Crypto plugin,b,"Docker Content Trust uses Notary v1 (based on The Update Framework — TUF). Notary v1 is in maintenance mode and has no PQC migration roadmap. Docker has not announced plans to extend DCT with ML-DSA or any NIST PQC algorithm. Teams should migrate immediately to Notation (Notary v2) or cosign, both of which have PQC support on their roadmaps. Staying on DCT/Notary v1 beyond 2027 creates a HNDL risk for container image provenance.",/learn/platform-eng-pqc,ops|developer,
pep-006,platform-eng-pqc,multiple-choice,advanced,both,"In an OPA Gatekeeper deployment, what does a ConstraintTemplate provide in a PQC enforcement context?",A Kubernetes RBAC role granting crypto operations to platform engineers,A Prometheus scrape configuration for certificate algorithm metrics,A Rego policy schema that defines rules to block quantum-vulnerable algorithm OIDs in Kubernetes resources,A cert-manager Certificate resource template for ML-DSA issuance,c,"An OPA Gatekeeper ConstraintTemplate defines a reusable Rego policy schema that describes what violation conditions to check. For PQC enforcement, a ConstraintTemplate would inspect incoming Kubernetes manifests (e.g., cert-manager Certificate resources or Helm values) for quantum-vulnerable algorithm identifiers (OIDs for RSA-2048, ECDSA, Ed25519) and block them at admission time. Concrete Constraint objects instantiate the template to target specific resource types.",/learn/platform-eng-pqc,ops|architect,
pep-007,platform-eng-pqc,multiple-choice,intermediate,both,Which SLSA supply chain security level first requires ML-DSA or SLH-DSA for provenance attestations?,Level 1 — basic provenance,Level 2 — hosted build platform,Level 3 — hardened build platform,Level 4 — two-party review with HSM-backed signing,c,"SLSA Level 3 (hardened build platform) requires that provenance attestations use ML-DSA or SLH-DSA signatures, ensuring the build provenance is quantum-resistant. Level 4 further strengthens requirements by mandating ML-DSA-87 or SLH-DSA-256 (higher security parameters) and HSM-backed key storage. Levels 1 and 2 do not yet impose PQC signature requirements, though they are expected to align with NIST standards as adoption matures.",/learn/platform-eng-pqc,ops|developer|architect,
pep-008,platform-eng-pqc,multiple-choice,intermediate,both,The cert-manager Prometheus exporter exposes which metric that is central to PQC migration monitoring?,CPU usage of the cert-manager controller pod,Number of Kubernetes namespaces with active certificate issuers,"Certificate algorithm type, key size, and expiry date for all managed certificates",TLS session resumption rate per ingress controller,c,"The cert-manager Prometheus exporter (certmanager_certificate_expiration_timestamp_seconds and certmanager_certificate_ready_status) tracks certificate metadata including algorithm type (RSA, ECDSA, ML-DSA), key size, issuer, and expiry. A PQC posture alert fires when a certificate using a quantum-vulnerable algorithm has an expiry date beyond the CRQC harvest horizon (e.g., after 2030). This enables automated detection of non-compliant certificates before they become a migration risk.",/learn/platform-eng-pqc,ops|architect,
pep-009,platform-eng-pqc,multiple-choice,advanced,both,"To generate an ML-DSA-44 key via cert-manager v1.17+, which field in the Certificate resource must be configured?",spec.acme.solvers[0].algorithm set to MLDSA44,spec.issuerRef.kind set to MLDSAClusterIssuer,spec.privateKey.algorithm set to MLDSA44,spec.keystores.pkcs12.create set to true with algorithm: MLDSA44,c,"cert-manager v1.17+ added support for ML-DSA key generation via the Certificate resource's spec.privateKey.algorithm field. Setting algorithm: MLDSA44 (or MLDSA65, MLDSA87) instructs cert-manager to generate an ML-DSA key pair. The issuer (Vault PKI, EJBCA, or an internal CA) must also support ML-DSA certificate issuance — ACME issuers (Let's Encrypt) do not yet support PQC until 2026/2027. The spec.acme and spec.issuerRef fields control issuer selection, not key type.",/learn/platform-eng-pqc,ops|developer|architect,
pep-010,platform-eng-pqc,multiple-choice,intermediate,both,Rekor is the Sigstore transparency log used with cosign. What type of record does it store for a container signing event?,The container image layers in encrypted form for supply chain verification,"An immutable, signed log entry recording the signing event: public key, artifact hash, and timestamp",The signing private key in a hardware-secured append-only vault,An OPA policy bundle describing which keys are authorized to sign which image repositories,b,"Rekor stores an append-only, cryptographically signed log entry for each signing event. The entry includes the public key (or certificate), the artifact hash being signed, the signature, and a timestamp — but never the private key. This enables anyone to verify that a container image was signed by a specific key at a specific time, and that the log has not been tampered with (Merkle tree root). Rekor is preparing for ML-DSA transparency log entries as cosign migrates to PQC signatures.",/learn/platform-eng-pqc,developer|architect|researcher,
pep-011,platform-eng-pqc,multiple-choice,intermediate,both,"As of 2025-2026, which container image signing tool offers the BEST production-ready ML-DSA support?",Docker Content Trust (DCT / Notary v1),cosign v2 (Sigstore),Notation with AWS Signer or a compatible ML-DSA crypto plugin,GPG/OpenPGP with ML-DSA patch,c,"Notation (Notary v2) reached beta PQC support in 2025 and, when combined with a crypto plugin such as AWS Signer or a compatible PKCS#11 plugin, enables ML-DSA-65 OCI artifact signing today. cosign has ML-DSA on its roadmap for 2026 but has not yet shipped it. Docker Content Trust (Notary v1) has no PQC roadmap. GPG/OpenPGP PQC drafts are in progress (RFC 9580) but OCI ecosystem integrations are not yet production-ready.",/learn/platform-eng-pqc,ops|developer,
pep-012,platform-eng-pqc,multiple-choice,advanced,both,A TLS 1.3 handshake using ML-DSA-65 certificates increases the handshake payload from approximately 4KB to what size?,6KB (1.5× increase),10KB (2.5× increase),18KB (4.5× increase),50KB (12.5× increase),c,"A classical TLS 1.3 handshake is approximately 4,096 bytes. With ML-DSA-65 certificate chains (each cert ~5,800B vs 800B for ECDSA P-256), the same handshake grows to approximately 18,432 bytes — a 4.5× increase. This affects not just bandwidth but also TLS handshake latency (P99 grows from ~12ms to ~28ms, a +133% increase). Capacity planning for etcd storage is also required: 1,000 certificates grow from 3MB to 14MB when migrating to ML-DSA.",/learn/platform-eng-pqc,ops|architect,
pep-013,platform-eng-pqc,multiple-choice,intermediate,both,"In an nginx-ingress Helm values file, which directive enables preference for ML-KEM key exchange (X25519MLKEM768)?","proxy-ssl-protocols: ""TLSv1.3 PQC""","ssl-ecdh-curve: ""X25519MLKEM768:X25519:P-256""","ssl-prefer-server-ciphers: ""on""","proxy-ssl-ciphers: ""TLS_AES_256_GCM_SHA384:TLS_MLKEM_768""",b,"The nginx-ingress controller exposes ssl-ecdh-curve as a ConfigMap annotation that maps to OpenSSL's SSL_CTX_set1_groups(). Setting it to X25519MLKEM768:X25519:P-256 tells nginx to prefer the X25519MLKEM768 hybrid KEM (classical X25519 + ML-KEM-768) for TLS 1.3 key exchange, falling back to X25519 and P-256 for clients that do not yet support PQC. This is one of the lowest-risk IaC changes in a PQC migration because it is a pure cipher preference with backward compatibility.",/learn/platform-eng-pqc,ops|developer,
pep-014,platform-eng-pqc,multiple-choice,advanced,both,"When deploying Kyverno policies that block quantum-vulnerable algorithm OIDs in Kubernetes, which rollout strategy minimises service disruption?",Deploy in Enforce mode immediately and monitor for blocked resources in logs,"Deploy in Audit mode first for 2 weeks to build a baseline, then switch to Enforce mode",Deploy both OPA Gatekeeper and Kyverno simultaneously in Enforce mode to maximise coverage,Enable Dry-Run flag permanently to avoid ever blocking legitimate workloads,b,"The recommended pattern for admission control policy rollouts is: (1) Deploy in Audit mode, which logs violations without blocking resources. (2) Run for approximately 2 weeks to capture a realistic baseline of existing quantum-vulnerable algorithm usage. (3) Review and triage violations — create exceptions for legacy systems that cannot migrate immediately. (4) Switch to Enforce mode with exceptions in place. Deploying directly in Enforce mode risks blocking CI/CD pipelines and production workloads that have not yet migrated signing keys.",/learn/platform-eng-pqc,ops|architect,
pep-015,platform-eng-pqc,multiple-choice,advanced,full,A platform engineering team plans a full Kubernetes cluster PQC migration. What is the correct dependency-respecting phase order?,Artifact Signing → Root CA → TLS Key Exchange → Policy Enforcement → CI Identity,Root CA (ML-DSA-65) → X-Wing TLS KEX → Artifact Signing → CI Identity → Policy Cut-Over,Policy Enforcement → Root CA → TLS KEX → Artifact Signing → Inventory,TLS Key Exchange → Policy Enforcement → Root CA → Artifact Signing → Inventory,b,"The correct phase order follows trust chain dependencies: (1) Inventory — understand blast radius before any change; (2) Root CA migration to ML-DSA-65 — everything downstream depends on a PQC-capable trust anchor; (3) X-Wing TLS KEX — protects in-flight data from HNDL once the CA can issue PQC certificates; (4) Artifact Signing — container and SBOM signatures now use ML-DSA-backed trust chain; (5) CI Identity — service accounts, build credentials; (6) Policy Cut-Over — enforce that all new resources use PQC. Starting with Policy Cut-Over before the Root CA breaks all existing certificate issuance.",/learn/platform-eng-pqc,ops|architect|researcher,
smp-001,secrets-management-pqc,multiple-choice,beginner,both,What is the 'Secret Zero' problem in secrets management?,The first secret stored in a vault is always unencrypted by default,The bootstrapping challenge of securely authenticating to a secrets manager before any secrets have been provisioned,A vulnerability in HashiCorp Vault version 0.x affecting seal/unseal operations,The master encryption key that encrypts all other keys in a KMS hierarchy,b,"Secret Zero is the bootstrapping dilemma: to retrieve secrets from a vault, a service needs a credential, but that credential must itself be stored somewhere securely. Solutions include platform identity (AWS IAM roles, Kubernetes service accounts), HSM-backed tokens, and vault agent auto-auth. PQC does not change the Secret Zero problem but introduces larger key material for the authentication credential.",,developer|architect|ops,
smp-002,secrets-management-pqc,multiple-choice,beginner,both,"In HashiCorp Vault's Transit Secrets Engine, what is the primary purpose?",Storing and retrieving static API keys and credentials for applications,Providing encryption-as-a-service: encrypting/decrypting data without storing the plaintext in Vault,Managing TLS certificates for Kubernetes ingress controllers,Automatically rotating database passwords on a schedule,b,"The Transit Secrets Engine is Vault's 'encryption-as-a-service' offering. Applications send plaintext to Vault via API; Vault encrypts it with a named key and returns ciphertext. The plaintext never persists in Vault. This is the component most directly impacted by PQC: the transit key wrapping algorithm (currently AES-256-GCM for DEKs, protected by ECDH or RSA KEKs) must be upgraded to ML-KEM-768 for quantum safety.",/learn/secrets-management-pqc,developer|architect,
smp-003,secrets-management-pqc,multiple-choice,beginner,both,Which category of secret has the HIGHEST HNDL (Harvest Now Decrypt Later) risk?,Session tokens valid for 15 minutes,API keys that are automatically rotated every 24 hours,Long-term signing keys protecting code repositories expected to remain valid for 10+ years,Temporary AWS STS credentials with a 1-hour lifetime,c,HNDL risk is a function of (1) sensitivity of the protected data and (2) how long the secret must remain valid. Long-term code-signing keys protecting firmware or software that may be verified for decades represent the highest HNDL risk. An adversary who harvests the encrypted key material today and decrypts it in 10 years gains the ability to forge software signatures retroactively.,/learn/secrets-management-pqc,developer|architect|executive,
smp-004,secrets-management-pqc,multiple-choice,intermediate,both,"HashiCorp Vault uses envelope encryption: a Data Encryption Key (DEK) encrypts the data, and a Key Encryption Key (KEK) wraps the DEK. For post-quantum safety, which component MUST be upgraded first?",The DEK algorithm (AES-256-GCM) -- upgrade to AES-512,The KEK wrapping mechanism -- replace RSA-OAEP or ECDH wrapping with ML-KEM-768,The Vault audit log encryption algorithm,The Vault TLS certificate used for API connections,b,"AES-256-GCM (the DEK) is already quantum-resistant: Grover's algorithm reduces its effective security from 256 bits to 128 bits, which remains computationally infeasible. The vulnerability is in the KEK wrapping layer: RSA-OAEP and ECDH are both broken by Shor's algorithm. The critical PQC change is replacing KEK wrapping with ML-KEM-768 (or the X25519MLKEM768 hybrid for backward compatibility during transition).",/learn/secrets-management-pqc,developer|architect,
smp-005,secrets-management-pqc,multiple-choice,intermediate,both,AWS Secrets Manager stores secrets encrypted at rest using AWS KMS data keys. The data key itself is protected by a KMS key. Which AWS KMS change provides the STRONGEST quantum protection for secrets at rest?,Enable automatic rotation for all secrets (90-day rotation),Migrate KMS keys to ML-KEM-768-protected key material (using AWS CloudHSM PQC HSM backing),Enable multi-region KMS key replication for all secrets,Switch from symmetric KMS keys to asymmetric KMS key pairs,b,"AWS Secrets Manager uses envelope encryption: AES-256-GCM for the secret value, protected by a KMS data key, which is in turn protected by the KMS key's backing material. The AES-256 layer is quantum-resistant. The vulnerability is the KMS key protection mechanism. Migrating KMS key wrapping to ML-KEM-768 (when available) eliminates the HNDL attack surface on the key hierarchy. Automatic rotation addresses compromise detection but not quantum harvesting of key material.",/learn/secrets-management-pqc,architect|ops,
smp-006,secrets-management-pqc,multiple-choice,intermediate,both,What are 'dynamic secrets' in HashiCorp Vault and how do they reduce HNDL risk?,Secrets that change their encryption algorithm based on the client's quantum readiness,"Short-lived credentials generated on-demand for each request, reducing HNDL exposure by minimizing credential lifetime","Secrets stored in RAM only, never written to disk, ensuring forward secrecy",Vault secrets with automatic quantum-random number generation for key material,b,"Dynamic secrets are generated by Vault on-demand for each request and have a defined TTL (lease duration). For example, Vault's database secrets engine creates a unique database user with a random password for each client request, then revokes it when the TTL expires. This dramatically reduces HNDL risk: an adversary who harvests a dynamic secret in transit can only use it for its TTL window (typically minutes to hours) rather than years.",/learn/secrets-management-pqc,developer|architect,
smp-007,secrets-management-pqc,multiple-choice,intermediate,both,"A CI/CD pipeline uses GitHub Actions OIDC to authenticate to HashiCorp Vault and retrieve deployment secrets. The OIDC token is signed with RS256 (RSA-2048). For PQC migration, what change is REQUIRED to harden the authentication path?",Enable Vault's PKI secrets engine and issue ML-KEM-768 certificates to GitHub runners,Migrate GitHub's OIDC token signing from RS256 to ML-DSA-65 (when GitHub adds PQC OIDC support),Switch from OIDC to AppRole authentication with a 4096-bit RSA wrapped secret_id,Enable Vault Agent's auto-auth with AWS IAM instead of GitHub OIDC,b,OIDC-based authentication relies on JWT token signatures for identity proof. RS256 (RSA-2048) is vulnerable to Shor's algorithm. An adversary who captures OIDC tokens could later forge authentication tokens if they can derive the private key. The migration path is for GitHub (or any OIDC provider) to adopt ML-DSA-65 for token signing per the JOSE/JWT PQC draft (draft-ietf-jose-dilithium).,/learn/secrets-management-pqc,developer|ops,
smp-008,secrets-management-pqc,multiple-choice,intermediate,both,"In Kubernetes, the External Secrets Operator (ESO) syncs secrets from external providers (Vault, AWS SM, Azure KV) into Kubernetes Secrets. What is the PRIMARY quantum vulnerability in this architecture?",The ESO pod communicates with backends over mTLS using ECDSA certificates,"Kubernetes Secrets are stored in etcd encrypted with AES-CBC, which is quantum-vulnerable",The ExternalSecret resource exposes secret metadata in plaintext in the Kubernetes API,Both A and B represent quantum vulnerabilities in the ESO architecture,d,"ESO has two PQC-relevant surfaces: (1) The transport layer between ESO and external backends uses mTLS with ECDSA/RSA certificates vulnerable to quantum key recovery. (2) Kubernetes Secrets stored in etcd use AES-CBC (or AES-GCM in newer versions) for encryption at rest, but the etcd encryption key is typically wrapped with an RSA or ECDH master key. Both require PQC upgrades: ML-KEM for transport KEX and ML-DSA for mTLS certificates.",/learn/secrets-management-pqc,ops|architect,
smp-009,secrets-management-pqc,multiple-choice,intermediate,both,"BYOK (Bring Your Own Key) allows organizations to use their own HSM-generated keys in cloud secrets managers. In a PQC context, what does a quantum-safe BYOK implementation require?",An HSM with ML-KEM-768 key generation capability for the BYOK key transport wrapping,Cloud provider support for importing ML-KEM-768 public keys as BYOK transport keys,A hybrid key transport protocol (ML-KEM + classical) for backward-compatible BYOK during transition,All of the above are required for a complete PQC BYOK implementation,d,"Quantum-safe BYOK requires the entire key import ceremony to use PQC-resistant cryptography: (1) The HSM must generate ML-KEM-768 keys for the key transport wrapping operation. (2) The cloud provider must accept ML-KEM-768 public keys for the BYOK import endpoint. (3) During transition, hybrid key transport (ML-KEM-768 + X25519) provides backward compatibility while protecting against HNDL attacks on the import ceremony.",/learn/secrets-management-pqc,architect|ops,
smp-010,secrets-management-pqc,multiple-choice,intermediate,full,Secret Sprawl describes the proliferation of secrets across systems without centralized management. How does PQC migration potentially worsen secret sprawl?,PQC migration forces secrets to be replicated across all geographic regions simultaneously,"PQC migration requires larger key material storage, increasing memory and disk pressure that incentivizes teams to store keys in non-standard locations","Each team may independently migrate to different PQC algorithms, creating a heterogeneous secret ecosystem with inconsistent algorithm policies across services","PQC migration automatically triggers secret rotation, exposing previously unknown secret locations",c,"PQC migration often reveals secret sprawl because each team may implement their own PQC approach: Team A uses ML-KEM-768, Team B uses X25519MLKEM768 hybrid, Team C delays migration entirely. The result is algorithm heterogeneity that defeats centralized key management policies. A centralized secrets manager (Vault, AWS SM) with a unified PQC algorithm policy is the solution, but requires discovery of all secret locations first -- which is exactly the problem that secret sprawl creates.",/learn/secrets-management-pqc,architect|executive,
smp-011,secrets-management-pqc,multiple-choice,advanced,both,HashiCorp Vault Enterprise uses AWS KMS as an Auto Unseal provider. The unseal key is wrapped with the KMS key using RSA-OAEP or AES-256-GCM (depending on key type). What is the most complete post-quantum hardening of the Vault unseal path?,Switch from AWS KMS Auto Unseal to Shamir Secret Sharing with 5-of-7 physical key holders,Upgrade the AWS KMS key backing to ML-KEM-768 key wrapping once AWS adds PQC KMS key types,Configure Vault Enterprise HSM Integration (PKCS#11) pointing to an ML-KEM-capable HSM for unseal key wrapping,Rotate the Vault master key monthly to reduce the HNDL window,c,HSM Integration via PKCS#11 provides the most direct path: an ML-KEM-768 capable HSM (using CKM_ML_KEM_ENCAPSULATE for unseal key wrapping) keeps the root of trust in validated hardware with PQC capabilities. AWS KMS PQC key types are on the roadmap but not yet generally available. Monthly rotation reduces the HNDL window but doesn't eliminate the fundamental vulnerability of RSA-wrapped unseal keys that may have been harvested.,/learn/secrets-management-pqc,architect|ops,
smp-012,secrets-management-pqc,multiple-choice,advanced,both,A rotation policy designer must set TTLs for ML-DSA-65 signing keys used in a firmware authentication system. Which rotation trigger is MOST appropriate for high-security firmware signing keys?,Time-based: rotate every 90 days (NIST SP 800-57 recommendation),"Use-based: rotate after each firmware release, generating a new ML-DSA-65 key per product version",Volume-based: rotate after signing 1000 firmware images,Risk-based: rotate only when threat intelligence indicates key compromise risk,b,"For firmware signing keys, use-based rotation is superior to time-based rotation. Each firmware release should be signed by a unique key, limiting blast radius: if signing key K was compromised, only firmware signed with K is affected, not all firmware. ML-DSA-65's stateless nature (unlike LMS/XMSS) makes per-release key rotation operationally practical. The corresponding public key is embedded in the root of trust or certificate chain for each release.",/learn/secrets-management-pqc,architect|ops,
smp-013,secrets-management-pqc,multiple-choice,advanced,both,"A pipeline integration lab deploys GitHub Actions OIDC with Vault for a microservices platform. 47 services each have unique AppRole credentials stored in a centralized secrets manager. When migrating all AppRole credentials to ML-KEM-protected storage, what is the SAFEST migration sequence?",Rotate all 47 AppRole secret_ids simultaneously in a maintenance window to minimize the migration window,"Migrate one service at a time: update secret_id wrapped with ML-KEM in Vault, update the service's retrieval path, verify, then proceed to the next","Back up all AppRole credentials to a separate encrypted store, then perform batch rotation",Enable Vault's namespace feature to create a parallel PQC namespace and gradually migrate services,b,"Sequential per-service migration minimizes blast radius. Each service is individually migrated, verified, and monitored before the next service begins. This approach catches issues early (e.g., a service that cannot handle the larger ML-KEM-wrapped credential) without affecting all 47 services. The batch approach (A) risks a simultaneous failure across all services if the migration process has a bug.",/learn/secrets-management-pqc,ops|architect,
smp-014,secrets-management-pqc,multiple-choice,advanced,full,Azure Key Vault uses RSA-OAEP for key wrapping in its Bring Your Own Key (BYOK) import flow. The BYOK specification requires the customer to wrap their key with a Microsoft-provided RSA-2048 or RSA-3072 transport key. What PQC change would make this import ceremony quantum-safe?,Increase the Microsoft transport key size to RSA-8192,"Replace the RSA transport key with an ML-KEM-1024 public key in the BYOK import specification, requiring the customer HSM to perform ML-KEM encapsulation for key transport",Add an additional AES-256-GCM encryption layer around the RSA-wrapped key material,"Use TLS 1.3 with X25519MLKEM768 for the BYOK upload HTTP request, protecting the RSA-wrapped payload in transit",b,"The BYOK ceremony's fundamental vulnerability is RSA-OAEP transport wrapping: if an adversary captures the BYOK import request, they can later decrypt the wrapped customer key using a CRQC, gaining access to all data encrypted under that key hierarchy. Replacing the RSA transport key with ML-KEM-1024 makes the import ceremony post-quantum: the customer HSM performs CKM_ML_KEM_ENCAPSULATE to wrap the customer key, and even a CRQC cannot unwrap it.",/learn/secrets-management-pqc,architect,
